State,District,DistrictPop,Discrepancy
AN,Nicobars,36842,Nicobars
AN,North and Middle Andaman,105597,North and Middle Andaman
AN,South Andaman,238142,South Andaman
AP,Anantapur,4083315,Anantapur
AP,Chittoor,4170468,Chittoor
AP,East Godavari,5151549,East Godavari
AP,Guntur,4889230,Guntur
AP,Krishna,4529009,Krishna
AP,Kurnool,4046601,Kurnool
AP,Prakasam,3392764,Prakasam
AP,S.P.S. Nellore,2966082,S.P.S. Nellore
AP,Srikakulam,2699471,Srikakulam
AP,Visakhapatnam,4288113,Visakhapatnam
AP,Vizianagaram,2342868,Vizianagaram
AP,West Godavari,3934782,West Godavari
AP,Y.S.R. Kadapa,2884524,Y.S.R. Kadapa
AR,Anjaw,21089,Anjaw
AR,Changlang,147951,Changlang
AR,East Kameng,78413,East Kameng
AR,East Siang,99019,East Siang
AR,Kamle,22256,Kamle
AR,Kurung Kumey,89717,Kurung Kumey
AR,Lohit,145538,Lohit
AR,Longding,60000,Longding
AR,Lower Dibang Valley,53986,Lower Dibang Valley
AR,Lower Siang,80597,Lower Siang
AR,Lower Subansiri,82839,Lower Subansiri
AR,Namsai,95950,Namsai
AR,Papum Pare,176385,Papum Pare
AR,Shi Yomi,13310,Shi Yomi
AR,Siang,31920,Siang
AR,Tawang,49950,Tawang
AR,Tirap,111997,Tirap
AR,Upper Dibang Valley,7948,Upper Dibang Valley
AR,Upper Siang,35289,Upper Siang
AR,Upper Subansiri,83205,Upper Subansiri
AR,West Kameng,87013,West Kameng
AR,West Siang,112272,West Siang
AS,Baksa,953773,Baksa
AS,Barpeta,1693190,Barpeta
AS,Biswanath,612491,Biswanath
AS,Bongaigaon,732639,Bongaigaon
AS,Cachar,1736319,Cachar
AS,Chirang,481818,Chirang
AS,Darrang,908090,Darrang
AS,Dhemaji,688077,Dhemaji
AS,Dhubri,1948632,Dhubri
AS,Dibrugarh,1327748,Dibrugarh
AS,Dima Hasao,213529,Dima Hasao
AS,Goalpara,1008959,Goalpara
AS,Golaghat,1058674,Golaghat
AS,Hailakandi,659260,Hailakandi
AS,Hojai,931218,Hojai
AS,Jorhat,1091295,Jorhat
AS,Kamrup,1517202,Kamrup
AS,Kamrup Metropolitan,1260419,Kamrup Metropolitan
AS,Karbi Anglong,965280,Karbi Anglong
AS,Karimganj,1217002,Karimganj
AS,Kokrajhar,886999,Kokrajhar
AS,Lakhimpur,1040644,Lakhimpur
AS,Majuli,167304,Majuli
AS,Morigaon,957853,Morigaon
AS,Nagaon,2826006,Nagaon
AS,Nalbari,769919,Nalbari
AS,Sivasagar,1150253,Sivasagar
AS,Sonitpur,1925975,Sonitpur
AS,South Salmara Mankachar,555114,South Salmara Mankachar
AS,Tinsukia,1316948,Tinsukia
AS,Udalguri,832769,Udalguri
AS,West Karbi Anglong,300320,West Karbi Anglong
BR,Araria,2806200,Araria
BR,Arwal,700843,Arwal
BR,Aurangabad,2511243,Aurangabad
BR,Banka,2029339,Banka
BR,Begusarai,2954367,Begusarai
BR,Bhagalpur,3032226,Bhagalpur
BR,Bhojpur,2720155,Bhojpur
BR,Buxar,1707643,Buxar
BR,Darbhanga,3921971,Darbhanga
BR,East Champaran,5082868,East Champaran
BR,Gaya,4379383,Gaya
BR,Gopalganj,2558037,Gopalganj
BR,Jamui,1756078,Jamui
BR,Jehanabad,1124176,Jehanabad
BR,Kaimur,1626900,Kaimur
BR,Katihar,3068149,Katihar
BR,Khagaria,1657599,Khagaria
BR,Kishanganj,1690948,Kishanganj
BR,Lakhisarai,1000717,Lakhisarai
BR,Madhepura,1994618,Madhepura
BR,Madhubani,4476044,Madhubani
BR,Munger,1359054,Munger
BR,Muzaffarpur,4778610,Muzaffarpur
BR,Nalanda,2872523,Nalanda
BR,Nawada,2216653,Nawada
BR,Patna,5772804,Patna
BR,Purnia,3273127,Purnia
BR,Rohtas,2962593,Rohtas
BR,Saharsa,1897102,Saharsa
BR,Samastipur,4254782,Samastipur
BR,Saran,3943098,Saran
BR,Sheikhpura,634927,Sheikhpura
BR,Sheohar,656916,Sheohar
BR,Sitamarhi,3419622,Sitamarhi
BR,Siwan,3318176,Siwan
BR,Supaul,2228397,Supaul
BR,Vaishali,3495021,Vaishali
BR,West Champaran,3935042,West Champaran
CH,Chandigarh,1055450,Chandigarh
CT,Balod,826165,Balod
CT,Baloda Bazar,1305343,Baloda Bazar
CT,Balrampur,598855,Balrampur
CT,Bametara,197035,Bametara
CT,Bastar,1302253,Bastar
CT,Bijapur,229832,Bijapur
CT,Bilaspur,1961922,Bilaspur
CT,Dakshin Bastar Dantewada,533638,Dakshin Bastar Dantewada
CT,Dhamtari,799199,Dhamtari
CT,Durg,3343079,Durg
CT,Gariaband,597653,Gariaband
CT,Janjgir Champa,1620632,Janjgir Champa
CT,Jashpur,852043,Jashpur
CT,Kabeerdham,584667,Kabeerdham
CT,Kondagaon,578326,Kondagaon
CT,Korba,1206563,Korba
CT,Koriya,659039,Koriya
CT,Mahasamund,1032275,Mahasamund
CT,Mungeli,701707,Mungeli
CT,Narayanpur,140206,Narayanpur
CT,Raigarh,1493627,Raigarh
CT,Raipur,4062160,Raipur
CT,Rajnandgaon,1537520,Rajnandgaon
CT,Sukma,249000,Sukma
CT,Surajpur,660280,Surajpur
CT,Surguja,420661,Surguja
CT,Uttar Bastar Kanker,748593,Uttar Bastar Kanker
DL,Delhi,19814000,#N/A
DN,Dadra and Nagar Haveli,343709,Dadra and Nagar Haveli
DN,Daman,191173,Daman
DN,Diu,52074,Diu
GA,North Goa,817761,North Goa
GA,South Goa,639962,South Goa
GJ,Ahmedabad,7208200,Ahmedabad
GJ,Amreli,1513614,Amreli
GJ,Anand,2090276,Anand
GJ,Aravalli,1051746,Aravalli
GJ,Banaskantha,3116045,Banaskantha
GJ,Bharuch,1550822,Bharuch
GJ,Bhavnagar,2877961,Bhavnagar
GJ,Botad,656005,Botad
GJ,Chhota Udaipur,1071831,Chhota Udaipur
GJ,Dahod,2126558,Dahod
GJ,Dang,226769,Dang
GJ,Devbhumi Dwarka,752484,Devbhumi Dwarka
GJ,Gandhinagar,1387478,Gandhinagar
GJ,Gir Somnath,1217477,Gir Somnath
GJ,Jamnagar,2159130,Jamnagar
GJ,Junagadh,2742291,Junagadh
GJ,Kheda,2298934,Kheda
GJ,Kutch,2090313,Kutch
GJ,Mahisagar,994624,Mahisagar
GJ,Mehsana,2027727,Mehsana
GJ,Morbi,960329,Morbi
GJ,Narmada,590379,Narmada
GJ,Navsari,1330711,Navsari
GJ,Panchmahal,2388267,Panchmahal
GJ,Patan,1342746,Patan
GJ,Porbandar,586062,Porbandar
GJ,Rajkot,3157676,Rajkot
