"S.No","District","Cumulative 
Sample","Today's 
Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Disc
harged","Cumulative 
Recovered/Dis
charged","Active  
case"
"1","AJMER","621944","2","37816","0","410","0","37384","22"
"2","ALWAR","1235359","2","59710","0","307","0","59389","14"
"3","BANSWARA","227464","0","10005","0","104","0","9901","0"
"4","BARAN","158328","0","11997","0","61","0","11935","1"
"5","BARMER","329763","0","15571","0","185","0","15383","3"
"6","BHARATPUR","382567","0","19601","0","260","0","19341","0"
"7","BHILWARA","389067","0","29782","0","156","0","29626","0"
"8","BIKANER","593808","1","40353","0","545","0","39802","6"
"9","BUNDI","174206","0","7967","0","48","0","7919","0"
"10","CHITTORGARH","357744","0","19809","0","139","0","19670","0"
"11","CHURU","315994","0","16720","0","107","0","16613","0"
"12","DAUSA","208260","0","13353","0","62","0","13289","2"
"13","DHOLPUR","223810","0","11010","0","48","0","10962","0"
"14","DUNGARPUR","247881","0","18407","0","131","0","18276","0"
"15","GANGANAGAR","330681","0","19355","0","150","0","19205","0"
"16","HANUMANGARH","372875","0","16053","0","111","0","15942","0"
"17","JAIPUR","2531947","9","187962","0","1971","1","185891","100"
"18","JAISALMER","205039","1","13642","0","66","0","13573","3"
"19","JALORE","373552","0","10067","0","72","0","9995","0"
"20","JHALAWAR","280298","0","13612","0","187","0","13425","0"
"21","JHUNJHUNU","370205","0","14811","0","158","0","14653","0"
"22","JODHPUR","1154894","1","112418","0","1103","0","111312","3"
"23","KARAULI","169461","0","7156","0","70","0","7086","0"
