"D
       
   
   
         
GOVERNMENT OF KARNATAKA 
 
DEPARTMENT OF HEALTH & FAMILY WELFARE 
 
COVID-19 
 
MEDIA BULLETIN 
ATE: 06-12-2021","","","","","","","",""
"","","","","","","","",""
"","T
he first case of Corona Virus infection, which has caused a pandemic resulting in catastrophic 
health 
implications  and  human  miseries 
throughout 
the  globe,  was  detected 
in 
state  on 
08.03.2020. It was a case of international traveler returning to Bengaluru Urban. 
A robust surveillance system with elaborate contingency plan is in place for limiting the spread of 
the disease.  
In  the  fight  against  COVID-19  pandemic  an  effective  intervention  in  the  form  of  COVID 
vaccination  has  been  implemented  in  Karnataka  since  January  16th  2021  as  per  Government  of 
India operational guidelines. 
The state is addressing the ongoing challenge of COVID 19 through the 5 pillars of Management 
i.e., “Test- Track- Treat- Vaccinate and Adherence to COVID Appropriate Behaviour”.","","","","","","",""
"","","","","","","","",""
"","","1","Today’s Discharges","","359","","",""
"","","2","Total Discharges","","2953067","","",""
"","","3","New Cases Reported (05.12.2021, 00:00 to 23:59)","","301","","",""
"","","4","Total Active Cases","","7067","","",""
"","","5","New Covid Deaths","","7","","",""
"","","6","Total Covid Deaths","","38237","","",""
"","","7","Total Positive Cases","","2998400","","",""
"","","8","Positivity rate for the day (05.12.2021, 00:00 to 23:59)","","0.34%","","",""
"","","9","Case fatality rate (CFR) for the day (05.12.2021, 00:00 to 23:59)","","2.32%","","",""
"","","","","","","","",""
"","Particulars","","","Today’s","","Cumulative","",""
"","A 
Total Passengers screened at Air ports","","","2032**","","572679","",""
"","High risk country* passengers arrived from 01-11- 2021 
B 
to till date","","","536","","4048","",""
"*As specified from GOI  
**Date 05-12-2021 
 
 
Date: 06-12-2021 
 Page 1 of 8","","","","","","","",""
