"Total No. of Sample Taken Today","38533"
"Total No. of Positive Cases Detected Today","29"
"Total Positive Cases under Home Isolation (07-12-2021)","152"
"Total No. of Samples Sent till date","13850949"
"Total No. of Samples found Positive till date","771904 
(M: 471638 
F: 300249 
Transgender: 17)"
"Total Positive COVID-19 Patients Recovered / Discharged till date","761626"
"Total Active COVID-19 Patients","200"
"No. of Deaths","10055"
"Total No. of People Vaccinated today","141370 
(1st Dose: 30640, 
2nd Dose: 110730"
"Cumulative Coverage of COVID-19 Vaccination - 1st Dose","18840074 (92%)"
"Cumulative Coverage of COVID-19 Vaccination – 2nd Dose","10911308 (53%)"
"Cumulative Coverage of Total COVID-19 Vaccination","29751382"
"COVID-19 Today (08-12-2021) Positivity Rate","0.08%"
"COVID-19 Cumulative Positivity Rate","5.59%"
"Recovery Rate","98.67%"
"Fatality Rate","1.30%"
"Tests Per Million Population","546389"
