District,Recovered,Deceased,Active
Lucknow,236234,2651,44
Gautam Buddha Nagar,62974,468,31
Mathura,19915,402,2
Ghaziabad,55225,461,24
Bareilly,43666,377,4
Varanasi,84534,971,10
Ghazipur,21367,283,2
Mainpuri,9851,182,0
Kanpur Nagar,81037,1905,3
Saharanpur,32317,420,13
Agra,25315,457,0
Gorakhpur,58595,848,3
Kanpur Dehat,6088,110,3
Kannauj,9114,115,2
Rae Bareli,16766,343,2
Sambhal,9331,106,1
Siddharthnagar,9275,100,0
Sonbhadra,16558,251,4
Aligarh,21172,109,4
Ambedkar Nagar,4888,152,0
Amethi,9830,143,0
Budaun,14844,98,0
Ballia,21376,234,1
Banda,10832,161,0
Barabanki,19626,225,0
Deoria,20006,221,2
Farrukhabad,10155,194,0
Gonda,12011,271,1
Jaunpur,22350,235,0
Jhansi,35896,663,0
Maharajganj,12301,140,2
Meerut,68588,898,2
Muzaffarnagar,30738,269,11
Prayagraj,77637,1088,3
Sant Kabir Nagar,8064,98,0
Shamli,12932,45,0
Sitapur,12214,185,0
Amroha,16413,203,1
Auraiya,9890,203,0
Ayodhya,16629,290,0
Azamgarh,17678,228,0
Baghpat,8993,141,1
Balrampur,7357,138,2
Basti,11388,330,0
Bahraich,11372,178,0
Bhadohi,7557,163,1
Bijnor,14668,126,1
Bulandshahr,19975,244,0
Chandauli,15852,357,0
Chitrakoot,7031,79,0
Etah,9869,99,0
Etawah,13640,293,0
Fatehpur,6676,139,1
Firozabad,8586,135,0
Hamirpur,5130,102,1
Hapur,12423,217,0
Hardoi,13408,349,0
Hathras,2877,43,0
Jalaun,11487,202,2
Kasganj,4197,53,0
Kaushambi,4355,70,1
Kushinagar,15389,228,0
Lakhimpur Kheri,24122,292,1
Lalitpur,12621,128,0
Mahoba,4182,86,0
Mau,8253,80,0
Mirzapur,10973,116,0
Moradabad,38753,349,1
Pilibhit,10839,193,0
Pratapgarh,15875,163,0
Rampur,11676,148,0
Shahjahanpur,19918,444,1
Shrawasti,4353,35,0
Sultanpur,14780,138,0
Unnao,14761,254,1
