"1","Total Samples taken","16729068"
"2","Sample collected on the day","20701"
"3","Test conducted on the day","20982"
"4","Total No. of patients tested Positive","604133"
"5","No. of patients discharged","587162"
"6","Number of active Cases","335"
"7","Total Deaths reported","16636"
"8","No. of Patients on oxygen support","24"
"9","Patients at critical care Level-3 facilities","12"
"10","Patients who are critical and on ventilator support","1"
"11","Healthcare Workers vaccinated with 1st dose on the day","8"
"12","Total Healthcare Workers vaccinated with 1st dose","217909"
"13","Frontline Workers vaccinated with 1st dose on the day","60"
"14","Total Frontline Workers vaccinated with 1st dose","1154852"
"15","Healthcare Workers vaccinated with 2nd dose on the day","68"
"16","Total Healthcare Workers vaccinated with 2nd dose","141797"
"17","Frontline Workers vaccinated with 2nd dose on the day","185"
"18","Total Frontline Workers vaccinated with 2nd dose","343930"
"19","COVID-19 Vaccinated with 1st dose on the day
(Healthcare + Frontline Workers)","68"
"20","COVID-19 Vaccinated with 2nd dose on the day
(Healthcare + Frontline Workers)","253"
"21","Total COVID-19 Vaccinated with 1st dose
(Healthcare + Frontline Workers)","1372761"
"22","Total COVID-19 Vaccinated with 2nd dose
(Healthcare + Frontline Workers)","485727"
"23","Above 45 Vaccinated with 1st dose on the day","2384"
"24","Total Above 45 Vaccinated with 1st dose","6413262"
"25","Above 45 Vaccinated with 2nd dose on the day","7769"
"26","Total Above 45 Vaccinated with 2nd dose","3736348"
"27","18-44 years age group Vaccinated with 1st dose on the day","7459"
"28","Total 18-44 years age group Vaccinated with 1st dose","9089101"
"29","18-44 years age group Vaccinated with 2nd dose on the day","22248"
"30","Total 18-44 years age group Vaccinated with 2nd dose","4766758"
"31","Total Vaccination 1st dose on the day","9911"
"32","Total Vaccination 2nd dose on the day","30270"
"33","Total Vaccination 1st and 2nd dose on the day","40181"
