"","","","","","","","","",""
"","","","","","","","","",""
"Districtwise Abstract of COVID-19","","","","","","","","",""
"Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid 
reasons#"
"1","Bagalakote","0","35187","0","34852","2","0","333","0"
"2","Ballari","6","97857","1","96058","112","0","1687","0"
"3","Belagavi","12","80144","5","79100","96","0","948","0"
"4","Bengaluru Rural","5","62158","2","61229","37","0","892","0"
"5","Bengaluru Urban","656","1263618","211","1239931","7286","5","16400","1"
"6","Bidar","0","24352","0","23943","1","0","404","4"
"7","Chamarajanagara","1","33120","0","32595","10","0","504","11"
"8","Chikkaballapura","1","44009","0","43562","14","0","432","1"
"9","Chikkamagaluru","3","51458","2","51031","29","0","398","0"
"10","Chitradurga","0","36772","0","36550","11","0","211","0"
"11","Dakshina 
Kannada","30","116382","24","114530","151","1","1694","7"
"12","Davanagere","0","51034","1","50413","13","0","608","0"
"13","Dharwada","9","61517","3","60147","43","0","1325","2"
"14","Gadag","1","26075","0","25755","1","0","319","0"
"15","Hassana","11","112343","10","110982","97","0","1262","2"
"16","Haveri","0","21961","0","21318","0","0","643","0"
"17","Kalaburagi","9","61992","0","61147","22","0","823","0"
"18","Kodagu","21","37775","7","37206","230","0","338","1"
"19","Kolara","8","47157","8","46446","68","0","643","0"
"20","Koppala","0","35209","0","34672","9","0","528","0"
"21","Mandya","7","73963","3","73259","48","1","656","0"
"22","Mysuru","9","180275","11","177752","95","0","2428","0"
"23","Raichuru","0","39992","1","39659","0","0","333","0"
"24","Ramanagara","1","24223","1","23896","4","0","323","0"
"25","Shivamogga","2","69732","7","68568","74","0","1090","0"
"26","Tumakuru","3","121341","15","120142","57","0","1142","0"
"27","Udupi","35","77138","5","76515","132","0","491","0"
"28","Uttara Kannada","1","56669","18","55839","54","1","776","0"
"29","Vijayapura","1","36299","0","35789","15","0","495","0"
"30","Yadagiri","0","27549","0","27342","1","0","206","0"
"31","Others*","0","36","0","33","0","0","3","0"
"Total","","832","3007337","335","2960261","8712","8","38335","29"
"*Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today. 
 
Date: 31-12-2021 
 Page 5 of 8","","","","","","","","",""
