"District","Positive Cases 
declared today","Declared Negative 
today","Positive cases 
admitted in 
the district"
"Thiruvananthapuram","481","487","3135"
"Kollam","155","276","371"
"Pathanamthitta","130","124","258"
"Alappuzha","107","138","254"
"Kottayam","153","244","2381"
"Idukki","57","118","924"
"Ernakulam","400","434","3603"
"Thrissur","171","161","1679"
"Palakkad","58","27","261"
"Malappuram","138","73","1294"
"Kozhikode","299","311","2684"
"Wayanad","65","101","770"
"Kannur","180","166","883"
"Kasaragod","41","44","407"
"Total","2435","2704","18904"
