,District,Recovered,Deceased,Confirmed
0,Gautam Buddha Nagar,63031,468,63743
1,Lucknow,236295,2651,239152
2,Ghaziabad,55265,461,55924
3,Meerut,68594,898,69598
4,Mathura,19917,402,20357
5,Prayagraj,77647,1088,78773
6,Varanasi,84547,971,85554
7,Moradabad,38753,349,39134
8,Agra,25319,457,25805
9,Kanpur Nagar,81041,1905,82970
10,Maharajganj,12303,140,12467
11,Saharanpur,32332,420,32773
12,Bareilly,43671,377,44061
13,Jhansi,35904,663,36580
14,Aligarh,21177,109,21297
15,Amroha,16416,203,16628
16,Gorakhpur,58598,848,59455
17,Muzaffarnagar,30753,269,31031
18,Rampur,11679,148,11836
19,Shahjahanpur,19919,444,20372
20,Barabanki,19626,225,19859
21,Sonbhadra,16560,251,16819
22,Etah,9869,99,9975
23,Auraiya,9889,203,10098
24,Balrampur,7356,138,7500
25,Deoria,20008,221,20235
26,Bulandshahr,19977,244,20226
27,Chandauli,15852,357,16214
28,Kanpur Dehat,6088,110,6203
29,Rae Bareli,16768,343,17116
30,Shamli,12932,45,12982
31,Unnao,14765,254,15024
32,Ayodhya,16629,290,16923
33,Baghpat,8994,141,9139
34,Ballia,21376,234,21614
35,Gonda,12012,271,12287
36,Budaun,14844,98,14945
37,Basti,11388,330,11721
38,Farrukhabad,10155,194,10352
39,Ghazipur,21369,283,21655
40,Sambhal,9332,106,9441
41,Azamgarh,17678,228,17908
42,Bahraich,11372,178,11552
43,Bijnor,14669,126,14797
44,Firozabad,8586,135,8723
45,Hapur,12423,217,12642
46,Hardoi,13408,349,13759
47,Kannauj,9114,115,9231
48,Mau,8253,80,8335
49,Pilibhit,10839,193,11034
50,Amethi,9830,143,9974
51,Etawah,13640,293,13934
52,Fatehpur,6679,139,6819
53,Hamirpur,5137,102,5240
54,Hathras,2877,43,2921
55,Kasganj,4197,53,4251
56,Kaushambi,4356,70,4427
57,Lakhimpur Kheri,24125,292,24418
58,Lalitpur,12621,128,12750
59,Mainpuri,9851,182,10034
60,Mirzapur,10973,116,11090
61,Pratapgarh,15875,163,16039
62,Shrawasti,4353,35,4389
63,Ambedkar Nagar,4888,152,5040
64,Banda,10832,161,10993
65,Bhadohi,7558,163,7721
66,Chitrakoot,7031,79,7110
67,Jalaun,11489,202,11691
68,Jaunpur,22350,235,22585
69,Kushinagar,15390,228,15618
70,Mahoba,4182,86,4268
71,Sant Kabir Nagar,8064,98,8162
72,Siddharthnagar,9275,100,9375
73,Sitapur,12214,185,12399
74,Sultanpur,14780,138,14918
