"Sr 
No","Name of District","Positive Cases Today","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged 
Cases","Recovery Rate (%)","No. of Deaths","No of Active Cases","COVID-19, Vaccination Status  
(NHM, Haryana)","",""
"","","","","","","","","Coverage of 
Vaccination on 
02-01-2022","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd",""
"1","Gurugram","358","183632","181267[68]","98.71","926","1439","2749","5199","4289633"
"2","Faridabad","83","100386","99336[8]","98.95","717","333","5354","9434","3153260"
"3","Hisar","3","54018","52868[3]","97.87","1137","13","4556","6527","1905007"
"4","Sonepat","5","47213","46894","99.32","254","65","5062","7496","1836088"
"5","Karnal","10","40114","39514","98.50","554","46","1875","3385","1914074"
"6","Panipat","12","31198","30523[1]","97.84","638","37","3755","6257","1607304"
"7","Panchkula","32","31058","30538","98.33","381","139","661","1029","898141"
"8","Ambala","27","30300","29656[2]","97.87","509","135","418","429","1799635"
"9","Sirsa","2","29310","28795","98.24","509","6","1652","2766","1635467"
"10","Rohtak","9","25960","25372","97.73","534","37","2249","2660","1309713"
"11","Yamunanagar","8","24704","24249","98.16","414","41","386","1356","1464738"
"12","Bhiwani","0","22415","21761[1]","97.08","652","2","1086","2970","1477538"
"13","Kurukshetra","10","22204","21808[1]","98.22","358","38","1489","2648","1156907"
"14","Mahindergarh","1","21694","21534","99.26","156","4","341","863","1114033"
"15","Jind","3","21219","20677","97.45","533","9","1590","2014","1367720"
"16","Rewari","8","20343","20109","98.85","221","13","960","2473","1291467"
"17","Jhajjar","2","18873","18519","98.12","328","20","1269","2463","1280672"
"18","Fatehabad","1","17884","17398","97.28","482","4","1558","3231","1016207"
"19","Kaithal","1","11255","10904","96.88","346","5","563","561","1365461"
"20","Palwal","1","11033","10877","98.59","153","3","1006","1950","1171381"
"21","Charkhi Dadri","0","5083","4940","97.19","139","4","299","691","718980"
"22","Nuh","1","5021","4891","97.41","123","7","545","1371","872968"
"Haryana","","577","774917","762430[84]","98.39","10064","2400","39423","67773","34646394"
