"S.No","District","Positives
Last 24 Hrs","Total
Positives","Total
Active Cases","Total
Recovered","Total
Deceased"
"1","Anantapur","36","158390","108","157189","1093"
"2","Chittoor","96","249083","379","246745","1959"
"3","East Godavari","43","295244","207","293747","1290"
"4","Guntur","49","179511","197","178055","1259"
"5","YSR Kadapa","15","116038","46","115348","644"
"6","Krishna","66","120979","326","119172","1481"
"7","Kurnool","6","124270","45","123371","854"
"8","Nellore","42","147235","161","146014","1060"
"9","Prakasam","15","138839","33","137676","1130"
"10","Srikakulam","22","123784","102","122890","792"
"11","Visakhapatnam","89","159265","438","157686","1141"
"12","Vizianagaram","25","83197","85","82439","673"
"13","West Godavari","43","180193","139","178930","1124"
"","Total AP Cases","547","2076028","2266","2059262","14500"
"14","Other States","0","2461","0","2461","0"
"15","Other Countries","0","434","0","434","0"
"","Total","547","2078923","2266","2062157","14500"
