,Unnamed: 0,44,Unnamed: 1,ममर्ापरु,Unnamed: 2,10,Unnamed: 3,0,Unnamed: 4,10973,Unnamed: 5,0.1,Unnamed: 6,116,Unnamed: 7,26,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
0,,45,,बहराइच,,6.0,,0.0,,11372.0,,0.0,,178.0,,24.0,,,,,
1,,46,,लखीमपरु-खीरी,,13.0,,0.0,,24126.0,,0.0,,292.0,,23.0,,,,,
2,,47,,महाराजगजं,,10.0,,18.0,,12322.0,,1.0,,141.0,,22.0,,,,,
3,,48,,सीतापरु,,12.0,,0.0,,12214.0,,0.0,,185.0,,22.0,,,,,
4,,49,,फर्रखाबाद,,8.0,,0.0,,10155.0,,0.0,,194.0,,19.0,,,,,
5,,50,,बमलया,,7.0,,0.0,,21376.0,,0.0,,234.0,,18.0,,,,,
6,,51,,मसद्धाथ नगर,,7.0,,0.0,,9275.0,,0.0,,100.0,,18.0,,,,,
7,,52,,कन्नौज,,6.0,,0.0,,9114.0,,0.0,,115.0,,16.0,,,,,
8,,53,,सलु्तानपरु,,7.0,,0.0,,14780.0,,0.0,,138.0,,16.0,,,,,
9,,54,,बलरामपरु,,1.0,,0.0,,7356.0,,0.0,,138.0,,15.0,,,,,
10,,55,,कानपरु देहात,,3.0,,1.0,,6089.0,,0.0,,110.0,,15.0,,,,,
11,,56,,गोंडा,,5.0,,0.0,,12016.0,,0.0,,271.0,,14.0,,,,,
12,,57,,इटावा,,7.0,,0.0,,13641.0,,0.0,,293.0,,13.0,,,,,
13,,58,,लमलतपरु,,5.0,,1.0,,12622.0,,0.0,,128.0,,13.0,,,,,
14,,59,,कुशीनगर,,5.0,,0.0,,15390.0,,0.0,,228.0,,11.0,,,,,
15,,60,,बादा,,5.0,,0.0,,10832.0,,0.0,,161.0,,10.0,,,,,
16,,61,,कासगजं,,4.0,,0.0,,4198.0,,0.0,,53.0,,10.0,,,,,
17,,62,,मऊ,,6.0,,0.0,,8253.0,,0.0,,80.0,,10.0,,,,,
18,,63,,अम्बडेकर नगर,,7.0,,0.0,,4888.0,,0.0,,152.0,,9.0,,,,,
19,,64,,अमठेी,,1.0,,0.0,,9830.0,,0.0,,143.0,,9.0,,,,,
20,,65,,पीलीभीत,,1.0,,0.0,,10839.0,,0.0,,193.0,,8.0,,,,,
21,,66,,प्रतापगढ़,,1.0,,0.0,,15875.0,,0.0,,163.0,,8.0,,,,,
22,,67,,फतहेपरु,,4.0,,0.0,,6679.0,,0.0,,139.0,,7.0,,,,,
23,,68,,चचत्रकट,,2.0,,0.0,,7031.0,,0.0,,79.0,,6.0,,,,,
24,,69,,कौशाम्बी,,2.0,,0.0,,4356.0,,0.0,,70.0,,6.0,,,,,
25,,70,,महोबा,,4.0,,0.0,,4182.0,,0.0,,86.0,,4.0,,,,,
26,,71,,भदोही,,0.0,,0.0,,7558.0,,0.0,,163.0,,3.0,,,,,
27,,72,,जालौन,,1.0,,0.0,,11489.0,,0.0,,202.0,,3.0,,,,,
28,,73,,सतं कबीर नगर,,2.0,,0.0,,8064.0,,0.0,,98.0,,3.0,,,,,
29,,74,,हमीरपरु,,2.0,,0.0,,5138.0,,0.0,,102.0,,2.0,,,,,
30,,75,,श्रावस्ती,,0.0,,0.0,,4354.0,,0.0,,35.0,,1.0,,,,,
31,,Total,,,,,,,4228.0,,119.0,,1688224.0,,1.0,,22918.0,,12327.0,,
32,,कोविड धनात्मक रोवियो ने कुल मृतु्य - 22918 इन रोवियो म मृतु्य का सही कारण मृतु्य ऑवडट के उपरात वनधाररत होिा),,,,,,,,,,,,,,,,,,,
