"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","105080","6992","95903","2185"
"2","SAS Nagar","88750","8513","79129","1108"
"3","Jalandhar","74643","4489","68621","1533"
"4","Patiala","60967","2076","57468","1423"
"5","Amritsar","56566","3560","51370","1636"
"6","Bathinda","48491","2948","44480","1063"
"7","Hoshiarpur","37740","3287","33433","1020"
"8","Gurdaspur","25866","1328","23711","827"
"9","Pathankot","23288","1056","21781","451"
"10","Fazilka","21767","1135","20098","534"
"11","Kapurthala","20835","1147","19129","559"
"12","Muktsar","20625","1211","18886","528"
"13","Sangrur","17617","545","16183","889"
"14","Mansa","16863","702","15776","385"
"15","Ropar","16620","1343","14847","430"
"16","Ferozepur","16582","897","15168","517"
"17","Faridkot","15633","866","14442","325"
"18","SBS Nagar","12987","747","11848","392"
"19","FG Sahib","11343","554","10442","347"
"20","Moga","9969","773","8959","237"
"21","Tarn Taran","9903","1091","8428","384"
"22","Barnala","7007","385","6372","250"
"","Total","719142","45645","656474","17023"
