"S.No","District","Cumulative 
Sample","Today's 
Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/
Discharged","Cumulative 
Recovered/
Discharged","Active  
case"
"1","AJMER","725972","448","46668","0","423","481","43661","2584"
"2","ALWAR","1432567","539","80366","0","316","820","73540","6510"
"3","BANSWARA","281471","210","12691","0","104","237","11237","1350"
"4","BARAN","202267","143","14069","0","62","126","13073","934"
"5","BARMER","380949","113","20805","0","196","282","19538","1071"
"6","BHARATPUR","441790","412","29838","0","264","743","26974","2600"
"7","BHILWARA","466199","447","35934","0","157","428","33314","2463"
"8","BIKANER","671817","179","47944","1","568","342","46257","1119"
"9","BUNDI","208761","94","9104","0","50","83","8597","457"
"10","CHITTORGARH","424230","285","27626","0","139","389","26205","1282"
"11","CHURU","385456","77","19406","1","110","187","18613","683"
"12","DAUSA","253288","35","15275","0","70","117","14723","482"
"13","DHOLPUR","257174","134","13043","0","49","87","12011","983"
"14","DUNGARPUR","308867","394","23495","0","133","467","21838","1524"
"15","GANGANAGAR","386499","570","24957","0","153","302","21446","3358"
"16","HANUMANGARH","454920","191","21102","1","114","367","19315","1673"
"17","JAIPUR","2992190","1813","254477","3","2039","3368","233606","18832"
"18","JAISALMER","231124","44","15791","0","68","32","15235","488"
"19","JALORE","420459","10","10404","1","77","36","10153","174"
"20","JHALAWAR","340544","129","16468","0","198","87","15449","821"
"21","JHUNJHUNU","446270","172","17175","0","169","264","16150","856"
"22","JODHPUR","1297628","888","133917","4","1140","635","128062","4715"
"23","KARAULI","212460","48","8302","0","76","97","7930","296"
