"S. No","Subject","Number"
"1","Total Number of people vaccinated on 30th Jan","4,77,387"
"2","First Dose on 30th Jan","62,011"
"3","Second Dose on 30th Jan","3,72,430"
"4","Precaution Dose on 30th Jan","42,946"
"5","Cumulative Vaccination till 30th Jan","12,00,38,060"
"6","Cumulative Vaccination First Dose","6,89,68,276"
"7","Cumulative Vaccination Second Dose","5,02,12,372"
"8","Cumulative Precaution Dose","8,57,412"
"9","Number of CVC (Common Vaccination Centres)","5,265"
"10","Cumulative AEFI cases reported","6,754"
"11","Vaccine wastage","-7%"
