,S.No.,जनपद का नाम,विगत 24 घटंों की,विगत 24 घटंों की.1,आज तक कुल,विगत 24 घटंों की.2,कोविि,ितमान म कुल
0,,,अिधि म  ससंधूित,अिधि म  ससंधूित,डिस्िाज,अिधि म  ससंधूित,िनात्मक,सक्रिय केसजे की
1,,,पषु्ट रोगी,डिस्िाज,,मतृ्य,रोधगयों म,सखं्या
2,,,,,,,कुल मतृ्य ु*,
3,1.0,लखनऊ,698,2230,277880,3,2668,8812
4,2.0,गौतम बिु नगर,287,708,91960,2,484,2669
5,3.0,झ सी,188,321,40334,0,668,2190
6,4.0,गाज़ियाबाद,261,469,80662,0,470,1841
7,5.0,प्रय गर ज,172,428,84254,0,1097,1634
8,6.0,िाराणसी,198,440,94067,0,981,1616
9,7.0,कानपरु नगर,114,513,89022,2,1919,1456
10,8.0,लखीमपरु-खीरी,93,343,27043,1,298,1418
11,9.0,मरेठ,90,370,85934,1,923,1218
12,10.0,गोरखपरु,103,277,64032,1,858,1013
13,11.0,र य बरेली,94,207,19196,0,345,961
14,12.0,बलुदंशहर,48,150,24766,0,249,932
15,13.0,बरेली,124,242,48619,0,377,891
16,14.0,श हजह परु,159,187,22507,0,445,865
17,15.0,आगरा,66,183,34242,0,462,672
18,16.0,बबजनौर,79,229,17325,1,131,657
19,17.0,ब र बकी,66,135,22385,0,225,656
20,18.0,मजुफ्फरनगर,104,179,37313,1,275,607
21,19.0,आजमगढ़,36,65,18479,0,231,586
22,20.0,ससद्ध र् नगर,87,93,10456,0,102,585
23,21.0,हरदोई,45,103,15833,2,359,572
24,22.0,सहारनपरु,36,232,37511,0,424,557
25,23.0,सीत परु,71,220,14299,0,186,553
26,24.0,देवररय,47,95,21367,1,226,520
27,25.0,ज लौन,87,142,12601,0,205,508
28,26.0,उन्न व,35,97,15858,1,256,484
29,27.0,मरुादाबाद,105,169,45360,0,363,449
30,28.0,अलीगढ,52,98,24713,0,112,438
31,29.0,लसलतपरु,44,52,13542,0,130,437
32,30.0,शामली,12,178,15944,0,48,421
33,31.0,अमरोह,54,151,18520,0,205,420
34,32.0,बहर इच,60,74,12577,0,178,403
35,33.0,पीलीभीत,36,59,11807,2,198,402
36,34.0,एट,57,201,11497,0,100,392
37,35.0,बद य,46,158,16963,0,101,387
38,36.0,फर्रख ब द,50,116,11330,0,195,379
39,37.0,फतहेपरु,56,94,7411,1,141,379
40,38.0,मह र जगज,33,98,13529,1,143,378
41,39.0,मर्रु,34,144,24834,0,405,377
42,40.0,गाजीपरु,40,132,23097,0,289,368
43,41.0,सोनभद्र,34,83,17902,0,255,361
44,42.0,गोंड,35,89,13438,2,279,340
45,43.0,जौनपरु,30,81,23535,1,240,323
