District,Recovered,Deceased,Active
मर्रु,25187,406,199
सलु्त नपरु,16397.0,144.0,193.0
भदोही,8140.0,164.0,190.0
क नपरु देह त,6747.0,110.0,189.0
गोंड,13723.0,280.0,185.0
अम्बडेकर नगर,5594.0,157.0,181.0
एट,11859.0,100.0,178.0
फर्रख ब द,11650.0,195.0,154.0
कुशीनगर,15939.0,233.0,144.0
चदौली,17277.0,373.0,141.0
प्रतापगढ़,16406.0,163.0,130.0
इट व,15516.0,295.0,128.0
बललय,22361.0,245.0,118.0
बस्ती,12561.0,334.0,117.0
चचत्रकट,7567.0,79.0,117.0
अमठेी,11132.0,145.0,116.0
क्रिरोजाबाद,10357.0,136.0,112.0
लमर् परु,11793.0,119.0,106.0
मनैपरुी,11300.0,189.0,95.0
कौश म्बी,4661.0,72.0,94.0
औरैय्य,10612.0,209.0,91.0
अयोध्य,18434.0,291.0,88.0
बागपत,10885.0,140.0,82.0
र मपरु,14468.0,152.0,79.0
सत कबीर नगर,8719.0,99.0,72.0
मऊ,8820.0,83.0,70.0
श्र वस्ती,4959.0,39.0,70.0
सभल,10910.0,108.0,67.0
ह र्रस,3634.0,43.0,61.0
महोब,4340.0,88.0,51.0
बलर मपरु,7994.0,139.0,49.0
क सगज,4807.0,54.0,21.0
