"Sr 
No","Name of District","Positive Cases Today","No of Active Cases","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged Cases","Recovery Rate (%)","No. of Deaths","COVID-19, Vaccination Status  
(NHM, Haryana)","","",""
"","","","","","","","","Coverage of Vaccination  
on 03-03-2022","","","Cumulative 
Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd","Precaution 
Dose",""
"1","Gurugram","132","713","259345","257628[169]","99.34","1004","537","3135","326","4966996"
"2","Faridabad","25","186","126838","125913[38]","99.27","739","626","2888","122","3787755"
"3","Hisar","11","47","61823","60606[10]","98.03","1170","161","955","62","2240599"
"4","Sonepat","1","23","58418","58119[3]","99.49","276","305","1404","61","2189143"
"5","Karnal","6","35","48128","47497[16]","98.69","596","242","1510","92","2263424"
"6","Panipat","1","9","36044","35365[1]","98.12","670","330","1569","42","1951085"
"7","Panchkula","10","35","44065","43616[12]","98.98","414","85","330","81","1058145"
"8","Ambala","4","29","40721","40150[9]","98.60","542","220","1142","78","2017728"
"9","Sirsa","2","10","33330","32783[3]","98.36","537","159","915","21","1862479"
"10","Rohtak","8","59","31769","31159[8]","98.08","534","118","1036","29","1613720"
"11","Yamunanagar","3","20","30577","30102[6]","98.45","455","244","2222","73","1832831"
"12","Bhiwani","7","42","26409","25704[12]","97.33","663","149","1170","66","1689363"
"13","Kurukshetra","4","25","26811","26392[5]","98.44","394","1229","3183","93","1429929"
"14","Mahindergarh","7","36","24699","24499[17]","99.19","164","87","665","31","1325937"
"15","Jind","0","8","24328","23779[4]","97.74","541","177","457","3","1625379"
"16","Rewari","5","19","24580","24337[6]","99.01","224","104","540","38","1494654"
"17","Jhajjar","4","23","23412","23039[3]","98.41","344[1]","132","892","28","1514326"
"18","Fatehabad","2","15","20039","19526[3]","97.44","498","66","319","9","1171580"
"19","Kaithal","4","14","14201","13817[3]","97.30","370","159","2404","34","1655003"
"20","Palwal","14","31","13423","13237[16]","98.61","155","362","981","17","1451414"
"21","Charkhi Dadri","1","16","7404","7243[24]","97.83","145","48","227","7","834884"
"22","Nuh","3","16","6079","5929[6]","97.53","134","109","501","13","1206977"
"Haryana","","254","1411","982443","970440[374]","98.78","10569[1]","5649","28078","1326","41183351"
