"","","","","","","","","",""
"","","","","","","","","",""
"Districtwise Abstract of COVID-19","","","","","","","","",""
"","","","","","","","","",""
"Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid 
reasons#"
"1","Bagalakote","1","40676","0","40305","4","0","367","0"
"2","Ballari","3","115498","4","113701","34","0","1761","2"
"3","Belagavi","1","100106","2","99052","52","0","1000","2"
"4","Bengaluru Rural","0","79270","0","78349","15","0","906","0"
"5","Bengaluru Urban","122","1780137","164","1760966","2228","2","16942","1"
"6","Bidar","0","29804","0","29379","1","0","420","4"
"7","Chamarajanagara","1","43614","2","43069","10","0","524","11"
"8","Chikkaballapura","1","55611","0","55142","9","0","459","1"
"9","Chikkamagaluru","2","57233","1","56811","16","0","406","0"
"10","Chitradurga","7","46234","22","45952","43","0","239","0"
"11","Dakshina 
Kannada","3","135443","7","133573","22","0","1838","10"
"12","Davanagere","0","57532","1","56904","5","0","623","0"
"13","Dharwada","1","84052","5","82654","13","0","1382","3"
"14","Gadag","0","30583","0","30242","6","0","335","0"
"15","Hassana","3","143854","1","142534","13","0","1305","2"
"16","Haveri","0","26835","1","26163","4","0","668","0"
"17","Kalaburagi","1","76583","5","75675","29","0","879","0"
"18","Kodagu","0","49256","8","48887","16","0","352","1"
"19","Kolara","2","62977","0","62299","14","0","664","0"
"20","Koppala","0","41280","3","40741","1","0","538","0"
"21","Mandya","1","101476","4","100757","9","0","710","0"
"22","Mysuru","11","229392","13","226782","53","0","2557","0"
"23","Raichuru","0","45446","2","45075","7","1","364","0"
"24","Ramanagara","3","29782","0","29415","20","0","347","0"
"25","Shivamogga","11","83303","5","82109","65","0","1128","1"
"26","Tumakuru","3","159801","6","158548","37","0","1216","0"
"27","Udupi","0","95588","1","95034","8","0","546","0"
"28","Uttara Kannada","3","71151","2","70330","13","0","808","0"
"29","Vijayapura","0","40993","0","40470","6","0","517","0"
"30","Yadagiri","1","29960","1","29737","11","0","212","0"
"31","Others*","0","36","0","33","0","0","3","0"
"Total","","181","3943506","260","3900688","2764","3","40016","38"
"*Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today. 
 
Date: 11-03-2022 
Page 5 of 8","","","","","","","","",""
