"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","22905","","5273","","28178",""
"2","Total Active Cases","59 
(0.26%)","","00 
(0.0%)","","59 
(0.21%)",""
"3","Total Cured/ Discharged","22678 
(99%)","","5213                                  
(98.9%)","","(98.98%)",""
"4","Total Died","168 
(0.73%)","","60 
(1.1%)","","228 
(0.81%)",""
"5","Total Positive cases admitted in COVID 
Hospital","09","","0","","09",""
"6","Total Positive cases in Home Isolation","06","","00","","06",""
"7","COVID Care Centre","44","","00","","44",""
"8","Facility Isolation","00","","00","","00",""
"9","No. of Samples Tested (Today)","290","","83","","373",""
"10","No. of Samples Positive (Today)","01","","00","","01",""
"11","No. of Samples Negative (Today)","287","","83","","370",""
"12","Repeat Positive/ Resampling (Today)","02","","00","","02",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","256 
        00 
        00 
        20 
       276"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(13/03/2022)","","Test Done Today 
(14/03/2022)","","Cumulative"
"","","a)  RTPCR","310830","","334","","311164"
"","","b)  TRUENAT","12600","","17","","12617"
"","","c)  RAT","347175","","08","","347183"
"","","d)  CBNAAT","842","","14","","856"
"","","TOTAL","671447","","373","","671820"
