"Sr. No.","District/Municipal 
Corporation","COVID-19 cases","Recovered 
patients","Deaths","Deaths due 
to other 
causes","Active cases"
"14","Jalgaon","135967","125873","2331","32","7731"
"15","Nandurbar","38600","36796","799","3","1002"
"16","Dhule","44412","41321","509","12","2570"
"17","Aurangabad","145481","137274","2700","14","5493"
"18","Jalna","57515","51924","901","1","4689"
"19","Beed","84643","73881","1816","8","8938"
"20","Latur","88479","82585","1615","4","4275"
"21","Parbhani","49932","44267","911","11","4743"
"22","Hingoli","17541","15094","324","0","2123"
"23","Nanded","89261","83266","2157","7","3831"
"24","Osmanabad","55979","50004","1276","63","4636"
"25","Amaravati","87702","78272","1358","2","8070"
"26","Akola","55060","48168","871","4","6017"
"27","Washim","38747","35338","549","3","2857"
"28","Buldhana","78440","73681","466","5","4288"
"29","Yavatmal","71700","67306","1333","4","3057"
"30","Nagpur","487990","466263","6474","52","15201"
"31","Wardha","57047","52244","878","112","3813"
"32","Bhandara","58739","56231","815","9","1684"
"33","Gondia","39775","37974","433","7","1361"
"34","Chandrapur","85130","79180","1359","2","4589"
"35","Gadchiroli","27898","25955","404","25","1514"
"","Other 
states/country","146","0","118","2","26"
"","Total","5650907","5241833","91341","2691","315042"
