"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","927"
"2","Number of persons tested positive today in Tamil Nadu","138"
"","Passengers returned from other countries  by 
International airport tested positive today","Turkey-4 
Singapore-1"
"","Passengers returned from other states  by Road tested 
positive today","Jharkhand-1"
"","Total","144"
"3","Total Number of persons tested positive till date","34,56,317"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","10,769/ 
6,67,16,969@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","10,743/ 
6,55,39,508"
"6","No. of Male / Female / Transgender tested positive today","79/65/0"
"7","No. of Male / Female / Transgender tested positive till date","20,17,068/14,39,211/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","339 (70 Govt+ 
269 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","79/ 
34,17,365"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,025"
