"Sr. No.","District/Municipal 
Corporation","COVID-19 cases","Recovered 
patients","Deaths","Active cases"
"3","Palghar","164548","160584","3408","556"
"4","Raigad","246011","240419","4946","646"
"5","Ratnagiri","84515","81925","2546","44"
"6","Sindhudurg","57205","55642","1533","30"
"7","Pune","1457242","1435353","20545","1344"
"8","Satara","278254","271518","6716","20"
"9","Sangli","227100","221422","5666","12"
"10","Kolhapur","220511","214597","5904","10"
"11","Solapur","227104","221210","5879","15"
"12","Nashik","473068","464050","8911","107"
"13","Ahmednagar","377804","370509","7242","53"
"14","Jalgaon","149575","146801","2761","13"
"15","Nandurbar","46618","45656","962","0"
"16","Dhule","50785","50107","670","8"
"17","Aurangabad","176595","172291","4284","20"
"18","Jalna","66336","65109","1224","3"
"19","Beed","109224","106337","2885","2"
"20","Latur","104962","102435","2489","38"
"21","Parbhani","58579","57296","1279","4"
"22","Hingoli","22182","21665","514","3"
"23","Nanded","102691","99974","2704","13"
"24","Osmanabad","75176","73034","2139","3"
"25","Amravati","105981","104346","1624","11"
"26","Akola","66207","64716","1470","21"
