,Unnamed: 0,S.No.,Unnamed: 1,जनपद का नाम,Unnamed: 2,विगत 24 घटंों कीअिधि म  ससंधूितपषु्ट रोगी,Unnamed: 3,विगत 24 घटंों कीअिधि म  ससंधूितडिस्िाज,Unnamed: 4,आज तक कुलडिस्िाज,Unnamed: 5,विगत 24 घटंों कीअिधि म  ससंधूितमतृ्य,Unnamed: 6,कोविििनात्मकरोधगयों मकुल मतृ्य ु*,Unnamed: 7,ितमान म कुलसक्रिय केसजे कीसखं्या,Unnamed: 8,Unnamed: 9
0,,1,,लखनऊ,,169,,171,,295946,,0,,2694,,1017,,
1,,2,,गौतम बिु नगर,,113,,132,,103346,,0,,491,,677,,
2,,3,,गाज़ियाबाद,,30,,82,,86773,,0,,473,,355,,
3,,4,,झ सी,,22,,3,,44128,,0,,675,,124,,
4,,5,,िाराणसी,,12,,21,,97969,,0,,988,,123,,
5,,6,,गोरखपरु,,9,,18,,66086,,0,,866,,106,,
6,,7,,लखीमपरु-खीरी,,11,,5,,30088,,0,,300,,101,,
7,,8,,कानपरु नगर,,5,,13,,91799,,0,,1923,,62,,
8,,9,,प्रय गर ज,,8,,5,,87605,,1,,1123,,54,,
9,,10,,बलुदंशहर,,8,,8,,26493,,0,,254,,47,,
10,,11,,सहारनपरु,,2,,9,,38440,,0,,428,,46,,
11,,12,,मरेठ,,6,,4,,88278,,0,,932,,45,,
12,,13,,अयोध्य,,3,,5,,18739,,0,,293,,42,,
13,,14,,जौनपरु,,2,,7,,24508,,0,,244,,41,,
14,,15,,पीलीभीत,,13,,4,,12780,,0,,207,,39,,
15,,16,,र य बरेली,,10,,6,,21463,,0,,348,,38,,
16,,17,,अमरोह,,2,,0,,19298,,0,,208,,35,,
17,,18,,देवररय,,6,,0,,22453,,0,,230,,34,,
18,,19,,अलीगढ,,7,,4,,25592,,0,,113,,31,,
19,,20,,ब र बकंी,,3,,3,,23774,,0,,227,,30,,
20,,21,,हरदोई,,4,,12,,17440,,0,,375,,27,,
21,,22,,चदंौली,,0,,12,,17656,,0,,381,,26,,
22,,23,,प्रतापगढ़,,0,,6,,16799,,0,,163,,26,,
23,,24,,औरैय्य,,0,,1,,10856,,0,,211,,25,,
24,,25,,आजमगढ़,,7,,5,,19484,,0,,235,,25,,
25,,26,,बरेली,,6,,3,,50154,,0,,377,,25,,
26,,27,,बस्ती,,7,,1,,12829,,0,,337,,23,,
27,,28,,मह र जगजं,,14,,25,,14905,,0,,146,,23,,
28,,29,,मथरु,,0,,5,,25744,,0,,406,,22,,
29,,30,,गोंड,,1,,4,,14192,,0,,285,,21,,
30,,31,,कन्नौज,,2,,3,,10904,,0,,126,,21,,
31,,32,,आगरा,,1,,2,,36071,,0,,465,,20,,
32,,33,,बागपत,,5,,3,,11092,,0,,144,,18,,
33,,34,,मरुादाबाद,,6,,5,,46144,,0,,369,,18,,
34,,35,,श हजह ंपरु,,3,,4,,24471,,0,,446,,17,,
35,,36,,गाजीपरु,,3,,3,,23901,,0,,296,,16,,
36,,37,,मजुफ्फरनगर,,1,,1,,38355,,0,,277,,16,,
37,,38,,उन्न व,,3,,1,,16985,,0,,257,,15,,
38,,39,,सलु्त नपरु,,1,,0,,16911,,0,,144,,14,,
39,,40,,सीत परु,,1,,4,,15804,,0,,189,,13,,
40,,41,,क्रिरोजाबाद,,1,,4,,10642,,0,,136,,12,,
41,,42,,मनैपरुी,,0,,3,,11552,,0,,189,,12,,
42,,43,,बहर इच,,2,,1,,13428,,0,,178,,11,,
