"Total No. of Sample Taken Today","14752"
"Total No. of Positive Cases Detected Today","511"
"Total Active COVID-19 Patients","1796"
"Total No. of Active Cases under Home Isolation (14-07-2022)","1728"
"Total No. of Samples found Positive till date","1021195"
"Total Positive COVID-19 Patients Recovered / Discharged till date","1008744"
"No. of Deaths","10632"
"Total No. of People Vaccinated Today","30158 
(1st Dose: 2384 
2nd Dose: 9552 
Precaution Dose: 18222)"
"Cumulative Coverage of COVID-19 Vaccination - 1st Dose  
(Achieved 100% for 18yrs above population)","23592534 (100%)"
"Cumulative Coverage of COVID-19 Vaccination - 2nd Dose 
(Achieved 87% for 15yrs above population)","19547980 (87%)"
"Cumulative Coverage of COVID-19 Vaccination - Precaution Dose","1185395"
"Cumulative Coverage of Total COVID-19 Vaccination","44325909"
"COVID-19 Today (14-07-2022) Positivity Rate","3.52%"
"Recovery Rate","98.78%"
"Fatality Rate","1.04%"
