"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","1043257","20032135"
"2","Total No. of patients tested Positive","6505","765517"
"3","No. of patients discharged","5203","746453"
"4","Total Deaths reported","43","17789"
"5","Sample collected on the day","","13087"
"6","Test conducted on the day","","13001"
"7","Positive cases on the day","","247"
"8","Number of active Cases","","1275"
"9","No. of Patients on oxygen support","","50"
"10","Patients at critical care Level-3 facilities","","5"
"11","Patients who are critical and on ventilator support","","2"
"12","Healthcare Workers vaccinated with 1st dose on the day","","5"
"13","Total Healthcare Workers vaccinated with 1st dose","","218753"
"14","Frontline Workers vaccinated with 1st dose on the day","","3"
"15","Total Frontline Workers vaccinated with 1st dose","","1117596"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","22"
"17","Total Healthcare Workers vaccinated with 2nd dose","","211117"
"18","Frontline Workers vaccinated with 2nd dose on the day","","145"
"19","Total Frontline Workers vaccinated with 2nd dose","","1016087"
"20","Above 45 Vaccinated with 1st dose on the day","","308"
"21","Total Above 45 Vaccinated with 1st dose","","8331355"
"22","Above 45 Vaccinated with 2nd dose on the day","","4431"
"23","Total Above 45 Vaccinated with 2nd dose","","7536232"
"24","18-44 years age group Vaccinated with 1st dose on the day","","1191"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12608070"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","9670"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10420268"
"28","15-17 years age group Vaccinated with 1st dose on the day","","594"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1094450"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","2612"
"31","Total 15-17 years age group Vaccinated with 2nddose","","799743"
"32","12-14 years age group Vaccinated with 1st dose on the day","","2497"
"33","Total 12-14 years age group Vaccinated with 1st dose","","615514"
"34","12-14 years age group Vaccinated with 2nddose on the day","","5063"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","385413"
"36","Precautionary dose given on the day","","3667"
"37","Total Precautionary dose given","","783042"
"38","Total Vaccination 1st dose on the day","","1507"
"39","Total Vaccination 2nd dose on the day","","14268"
"40","Total Vaccination 1st and 2nd dose on the day","","15775"
