"S.No","District","","Cumulative Sample  Today's Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Discha
rged","Cumulative 
Recovered/
Discharged","Active  case"
"1","AJMER","799389","18","50170","0","449","23","49628","93"
"2","ALWAR","1633206","28","85053","0","321","5","84640","92"
"3","BANSWARA","323341","0","14790","0","106","0","14678","6"
"4","BARAN","243434","0","15320","0","64","0","15253","3"
"5","BARMER","407166","0","21491","0","205","0","21276","10"
"6","BHARATPUR","476469","0","31457","0","274","0","31181","2"
"7","BHILWARA","510979","8","38365","0","162","22","38152","51"
"8","BIKANER","766550","21","50666","0","592","14","49923","151"
"9","BUNDI","237070","0","9715","0","55","0","9660","0"
"10","CHITTORGARH","455436","6","29481","0","140","10","29306","35"
"11","CHURU","438429","7","20969","0","115","2","20838","16"
"12","DAUSA","299384","12","15929","0","82","0","15818","29"
"13","DHOLPUR","290471","0","13967","0","49","0","13917","1"
"14","DUNGARPUR","328382","1","25531","0","134","6","25379","18"
"15","GANGANAGAR","423566","0","28190","0","158","0","28031","1"
"16","HANUMANGARH","489670","0","22546","0","115","0","22423","8"
"17","JAIPUR","3494449","18","278231","0","2114","84","275746","371"
"18","JAISALMER","243262","5","17049","0","68","0","16968","13"
"19","JALORE","450239","0","10611","0","78","7","10503","30"
"20","JHALAWAR","419123","2","17788","0","207","1","17565","16"
"21","JHUNJHUNU","494615","0","19161","0","181","0","18980","0"
"22","JODHPUR","1440612","77","142128","0","1164","54","140618","346"
"23","KARAULI","244238","1","8970","0","85","0","8884","1"
