"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","16,153"
"2","Number of persons tested positive today in Tamil Nadu","2,033"
"3","Total Number of persons tested positive till date","35,28,384"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","35,670/ 
6,78,56,942@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","34,876/ 
6,66,60,538"
"6","No. of Male / Female / Transgender tested positive today","1,168/865/0"
"7","No. of Male / Female / Transgender tested positive till date","20,57,086/14,71,260/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","340 (72 Govt+ 
268 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","2,383/ 
34,74,199"
"10","Total number of deaths today/ till date","1 (0 Private &  
1 Govt) /38,032"
