"Sr 
No","Name of District","Positive Cases Today","No of Active Cases","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged Cases","Recovery Rate (%)","No. of Deaths","COVID-19, Vaccination Status  
(NHM, Haryana)*","","",""
"","","","","","","","","Coverage of Vaccination  
on 27-07-2022","","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd","Precaution 
Dose",""
"1  Gurugram","","197","745","287607","285852","[174] ↑  99.39%","1010","185","522","3308","5579007"
"2","Faridabad","38","275","132936","131920 
[58] ↑","99.24%","741","112","222","1091","4132756"
"3  Hisar","","25","84","62774","61514 
[29] ↑","97.99%","1176","430","1038","1305","2392930"
"4","Sonipat","7","31","59043","58736 
[6] ↑","99.48%","276","45","413","299","2326376"
"5","Karnal","32","220","49149","48332 
[50] ↑","98.34%","597","81","176","367","2430987"
"6","Panchkula","77","337","46414","45661 
[30] ↑","98.38%","416","17","74","550","1160172"
"7","Ambala","50","274","41730","40914 
[41] ↑","98.04%","542","76","234","787","2181285"
"8","Panipat","11","53","36384","35657 
[4] ↑","98.00%","674","94","258","683","2099912"
"9","Sirsa","12","41","33758","33178 
[8] ↑","98.28%","539","34","205","441","1966770"
"10  Rohtak","","11","109","32446","31783 
[10] ↑","97.96%","537","36","945","398","1777501"
"","11  Yamunanagar","47","99","31210","30655 
[38] ↑","98.22%","456","19","395","776","2009575"
"12  Kurukshetra","","19","127","27273","26746 
[10] ↑","98.07%","400","80","652","480","1598157"
"13  Bhiwani","","0","36","26727","26026","97.38%","665","32","573","1141","1849358"
"","14  Mahendragarh","2","21","24842","24656","99.25%","165","38","105","364","1423062"
"15  Rewari","","3","4","24746","24518 
[2] ↑","99.08%","224","71","338","937","1607230"
"16","Jind","15","58","24708","24108 
[14] ↑","97.57%","542","11","293","401","1754225"
"17","Jhajjar","5","21","23680","23302 
[5] ↑","98.40%","351","113","258","338","1614015"
"18  Fatehabad","","1","12","20159","19649","97.47%","498","42","210","374","1202119"
"19  Kaithal","","24","66","14580","14143 
[16] ↑","97.00%","371","67","344","1788","1832657"
"20  Palwal","","0","5","13550","13374 
[2] ↑","98.70%","171","77","110","152","1560802"
"","21  Charkhi Dadri","3","10","7534","7379","97.94%","145","63","54","566","929726"
"22  Nuh","","0","1","6137","5997","97.72%","139","2","11","33","1225916"
"HARYANA","","579","2629","1027387","1014100","[497] ↑  98.71%","10635","1725","7430","16579","44654538"
