"Sr. No.","District/Corporation","Cases","","Deaths",""
"","","Daily","Prog.","Daily","Prog."
"1","MCGM","283","1122712","2","19646"
"2","Thane","12","120113","0","2289"
"3","TMC","39","199039","0","2177"
"4","Navi Mumbai","57","176324","0","2093"
"5","KDMC","7","178907","0","2978"
"6","Ulhasnagar MC","8","26978","0","685"
"7","Bhivandi Nijampur MC","0","13304","0","496"
"8","Mira Bhayandar MC","30","78938","0","1231"
"9","Palghar","13","65368","0","1244"
"10","Vasai Virar MC","16","101595","0","2174"
"11","Raigad","28","142467","0","3474"
"12","Panvel MC","15","109933","0","1483"
"","Mumbai circle total","508","2335678","2","39970"
"13","Nashik","16","184982","0","3816"
"14","Nashik MC","53","279906","0","4754"
"15","Malegaon MC","0","11088","0","345"
