"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","2796","113272","2623","110112","34","3013","147"
"2","SAS Nagar","4896","100585","4531","99064","19","1167","354"
"3","Jalandhar","2551","80816","2266","78604","24","1964","248"
"4","Patiala","1955","64035","1815","62198","11","1722","115"
"5","Amritsar","1191","60746","1063","58771","5","1845","130"
"6","Bathinda","1309","52176","1184","50627","3","1426","123"
"7","Hoshiarpur","1112","42221","994","40726","14","1414","81"
"8","Gurdaspur","304","27231","270","26343","3","867","21"
"9","Pathankot","461","24963","411","24426","4","521","16"
"10","Fazilka","375","23807","315","23118","0","621","68"
"11","Muktsar","231","22783","201","22211","2","541","31"
"12","Kapurthala","487","22516","432","21873","6","598","45"
"13","Ropar","953","18891","854","18337","4","459","95"
"14","Ferozepur","416","18309","366","17726","3","540","43"
"15","Mansa","178","17403","168","17004","1","393","6"
"16","Faridkot","358","17194","325","16746","3","414","34"
"17","Sangrur","261","14695","249","13822","6","866","7"
"18","SBS Nagar","398","13800","385","13373","0","409","18"
"19","FG Sahib","637","12552","601","12081","1","437","34"
"20","Moga","212","11211","187","10918","4","270","23"
"21","Tarn Taran","119","11019","100","10605","1","399","15"
"22","Barnala","183","7683","170","7308","4","361","14"
"23","Malerkotla","57","4060","53","3844","3","214","2"
"","Total","21440","781968","19563","759837","155","20461","1670"
