"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","23870","","5334","","29204",""
"2","Total Active Cases","44 
(0.18%)","","02 
(0.04%)","","46 
(0.16%)",""
"3","Total Cured/Discharged","23656 
(99.1%)","","5272 
(98.8%)","","28928 
(99.05%)",""
"4","Total Died","170 
(0.71%)","","60 
(1.1%)","","230 
(0.79%)",""
"5","Total Positive cases admitted in COVID 
Hospital","05","","0","","05",""
"6","Total Positive cases in Home Isolation","36","","02","","38",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","03","","00","","03",""
"9","No. of Samples Tested (Today)","110","","80","","190",""
"10","No. of Samples Positive (Today)","04","","00","","04",""
"11","No. of Samples Negative (Today)","106","","80","","186",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","52 
40 
03 
00 
95"
"14","COVID-19Total Tests done by UT of Ladakh(Cumulative)","Type of Test","Test Done Till 
(28/08/2022)","","Test Done Today 
(29/08/2022)","","Cumulative"
"","","a)RTPCR","36363","","119","","36482"
"","","b)TRUENAT","14937","","06","","14943"
"","","c)RAT","362291","","65","","362356"
"","","d)  CBNAAT","1225","","00","","1225"
"","","TOTAL","714816","","190","","715006"
