"S.No","District","Today's Samples","Today's 
Positive","Today's 
Death","Today's  
Recovered/
Discharged","Active  case"
"1","AJMER","1054","7","0","24","107"
"2","ALWAR","1222","32","0","42","232"
"3","BANSWARA","127","0","0","2","14"
"4","BARAN","298","0","0","0","3"
"5","BARMER","20","1","0","0","12"
"6","BHARATPUR","392","8","0","37","222"
"7","BHILWARA","566","15","0","2","103"
"8","BIKANER","837","5","0","1","43"
"9","BUNDI","197","6","0","11","37"
"10","CHITTORGARH","551","12","0","11","87"
"11","CHURU","214","0","0","0","0"
"12","DAUSA","803","16","1","4","137"
"13","DHOLPUR","83","4","0","0","39"
"14","DUNGARPUR","215","12","0","4","52"
"15","GANGANAGAR","254","3","0","1","8"
"16","HANUMANGARH","401","4","0","1","27"
"17","JAIPUR","2880","47","1","195","876"
"18","JAISALMER","62","0","0","2","23"
"19","JALORE","210","4","0","1","19"
"20","JHALAWAR","633","7","0","3","27"
"21","JHUNJHUNU","728","0","0","5","1"
"22","JODHPUR","423","18","0","32","200"
"23","KARAULI","277","0","0","0","5"
"24","KOTA","1099","1","0","1","41"
"25","NAGAUR","611","7","0","16","55"
"26","PALI","769","0","0","8","47"
