"Sl. 
No","District","Total Positive 
Cases","Discharged","Active 
Cases","Death"
"1","Ariyalur","20214","19934","13","267"
"2","Chengalpattu","251381","248473","250","2658"
"3","Chennai","787710","776500","2141","9069"
"4","Coimbatore","339029","335932","479","2618"
"5","Cuddalore","75633","74633","105","895"
"6","Dharmapuri","36761","36448","30","283"
"7","Dindigul","38740","38000","75","665"
"8","Erode","135730","134754","242","734"
"9","Kallakurichi","36913","36696","2","215"
"10","Kancheepuram","97794","96461","31","1302"
"11","Kanyakumari","89300","87993","222","1085"
"12","Karur","30169","29774","23","372"
"13","Krishnagiri","61811","61246","193","372"
"14","Madurai","92895","91628","31","1236"
"15","Mayiladuthurai","27267","26878","59","330"
"16","Nagapattinam","25915","25516","24","375"
"17","Namakkal","69515","68906","75","534"
"18","Nilgiris","42744","42494","24","226"
"19","Perambalur","14887","14612","26","249"
"20","Pudukottai","35162","34715","21","426"
"21","Ramanathapuram","24981","24600","13","368"
"22","Ranipet","56071","55256","28","787"
"23","Salem","131026","129027","236","1763"
"24","Sivagangai","24985","24727","39","219"
"25","Tenkasi","33816","33313","13","490"
"26","Thanjavur","93395","92320","34","1041"
"27","Theni","51791","51235","23","533"
"28","Thirupathur","36039","35366","40","633"
"29","Thiruvallur","152878","150894","44","1940"
"30","Thiruvannamalai","68166","67459","22","685"
"31","Thiruvarur","48922","48424","25","473"
"32","Thoothukudi","67047","66571","28","448"
"33","Tirunelveli","65685","65179","61","445"
"34","Tiruppur","131687","130511","124","1052"
"35","Trichy","97731","96496","74","1161"
"36","Vellore","58008","56792","53","1163"
"37","Villupuram","56125","55712","46","367"
"38","Virudhunagar","59191","58577","59","555"
"39","Airport Surveillance 
(International)","1389","1385","3","1"
"40","Airport Surveillance 
(Domestic)","1166","1162","3","1"
"41","Railway Surveillance","428","428","0","0"
"Grand Total","","35,70,097","35,27,027","5,034","38,036"
