"1","2","3","4","5","6 = 3-4-5","7"
"S. No","District","Total Cases","Total Discharged","Total Deaths","Total Active 
Cases","Last Reported 
Case"
"1","Alipurduar","15,312+8","15,109+8","100","103","12-Sep-21"
"2","Coochbehar","28,655+13","28,332+18","95","228-5","12-Sep-21"
"3","Darjeeling","55,672+31","54,601+42","521","550-11","12-Sep-21"
"4","Kalimpong","6,816+5","6,653+9","52","111-4","12-Sep-21"
"5","Jalpaiguri","41,105+17","40,249+23","559","297-6","12-Sep-21"
"6","Uttar Dinajpur","19,663+1","19,377+4","235","51-3","12-Sep-21"
"7","Dakshin Dinajpur","17,264+5","16,975+9","169","120-4","12-Sep-21"
"8","Malda","32,974+4","32,666+10","186","122-6","12-Sep-21"
"9","Murshidabad","33,772+2","33,413+3","325","34-1","12-Sep-21"
"10","Nadia","71,110+46","69,782+41","783+3","545+2","12-Sep-21"
"11","Birbhum","40,661+8","40,269+8","285","107","12-Sep-21"
"12","Purulia","19,322+5","19,166+3","113","43+2","12-Sep-21"
"13","Bankura","35,442+20","34,907+20","266","269","12-Sep-21"
"14","Jhargram","11,839+5","11,666+11","27","146-6","12-Sep-21"
"15","Paschim Medinipur","52,236+18","51,325+32","501","410-14","12-Sep-21"
"16","Purba Medinipur","62,071+14","61,266+28","385","420-14","12-Sep-21"
"17","Purba Bardhaman","40,889+17","40,432+20","191","266-3","12-Sep-21"
"18","Paschim Bardhaman","56,895+12","56,364+14","352","179-2","12-Sep-21"
"19","Howrah","96,108+18","94,150+36","1,500+1","458-19","12-Sep-21"
"20","Hooghly","83,556+29","82,075+41","953","528-12","12-Sep-21"
"21","North 24 Parganas","3,23,289+104","3,17,378+82","4,666+2","1,245+20","12-Sep-21"
"22","South 24 Parganas","98,312+31","96,413+41","1,294+1","605-11","12-Sep-21"
"23","Kolkata","3,14,385+93","3,08,100+84","5,026+3","1,259+6","12-Sep-21"
"24","Other State","66","63","3","0","6-Jun-20"
"TOTAL","","15,57,414+506","15,30,731+587","18,587+10","8,096-91",""
