"","","","","","","","","","",""
"","","","","","","","","","",""
"","istrictwise Abstract of COVID-19","","","","","","","","",""
"","Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid 
reasons 
#"
"","1","Bagalakote","0","41179","0","40807","3","0","369","0"
"","2","Ballari","2","117210","1","115375","48","0","1785","2"
"","3","Belagavi","14","101665","2","100615","42","0","1006","2"
"","4","Bengaluru Rural","5","80304","0","79365","29","0","910","0"
"","5","Bengaluru urban","145","1870114","170","1850630","2497","0","16986","1"
"","6","Bidar","0","30031","0","29605","2","0","420","4"
"","7","Chamarajanagara","1","44322","3","43760","23","0","528","11"
"","8","Chikkaballapura","3","56081","4","55573","45","0","462","1"
"","9","Chikkamagaluru","11","58035","12","57598","30","0","407","0"
"","10","Chitradurga","1","46548","0","46296","11","0","241","0"
"","11","Dakshina Kannada","14","136948","11","135023","65","0","1850","10"
"","12","Davanagere","0","58141","0","57504","9","0","628","0"
"","13","Dharwada","4","86140","11","84693","34","0","1406","7"
"","14","Gadag","0","30685","0","30344","2","0","339","0"
"","15","Hassana","9","145644","0","144274","60","0","1308","2"
"","16","Haveri","1","27159","0","26480","5","0","674","0"
"","17","Kalaburagi","3","77494","15","76572","35","0","887","0"
"","18","Kodagu","0","50480","0","49991","135","0","353","1"
"","19","Kolara","2","64074","13","63381","26","0","667","0"
"","20","Koppala","1","41561","0","41012","5","0","544","0"
"","21  Mandya","","4","102362","0","101622","28","0","712","0"
"","22  Mysuru","","28","233401","9","230684","147","0","2570","0"
"","23","Raichuru","1","46272","2","45880","23","0","369","0"
"","24","Ramanagara","15","30848","8","30302","198","0","348","0"
"","25","Shivamogga","25","84525","12","83257","126","1","1141","1"
"","26","Tumakuru","5","160799","10","159537","40","1","1222","0"
"","27","Udupi","5","96271","7","95687","34","0","550","0"
"","28","Uttara Kannada","5","71919","3","71067","36","0","816","0"
"","29","Vijayapura","2","41194","0","40664","8","0","522","0"
"","30","Yadagiri","0","30021","0","29810","0","0","211","0"
"","31","Others*","0","36","0","33","0","0","3","0"
"","Total","","306","4061463","293","4017441","3746","2","40234","42"
"*
   
Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today.  
 
 
Date: 18-09-2022 
Page 5 of 8","","","","","","","","","",""
