TT|2022-01-24 07:55:10.437499|GetSource|ERR|File Not Found
TT|2022-01-24 09:55:14.320431|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-01-24 09:55:34.738231|ExtractFromHTML|OK|COMPLETED
TT|2022-01-24 11:55:11.952042|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-01-24 11:55:37.414597|ExtractFromHTML|OK|COMPLETED
TT|2022-01-24 12:38:51.897005|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-01-24 12:39:09.100330|ExtractFromHTML|OK|COMPLETED
TT|2022-01-24 19:55:12.054608|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-01-24 19:55:30.390751|ExtractFromHTML|OK|COMPLETED
TT|2022-01-24 20:55:11.271703|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-01-24 20:55:33.287315|ExtractFromHTML|OK|COMPLETED
TT|2022-01-24 21:55:11.489597|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-01-24 21:55:32.807269|ExtractFromHTML|OK|COMPLETED
TT|2022-01-24 22:55:11.298871|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-01-24 22:55:51.140764|ExtractFromHTML|OK|COMPLETED
TT|2022-01-24 23:55:11.125416|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-01-24 23:55:29.915631|ExtractFromHTML|OK|COMPLETED
TT|2022-01-25 07:55:10.988711|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
