,Unnamed: 0,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForState,deltaVaccinatedForState,7DmaVaccinatedForState,cumulativeVaccinatedNumberForDistrict,deltaVaccinatedForDistrict
0,0,2021-11-31,BR,8,0,9,226443.0,117767,151374,0,726079.0,9661.0,716375.0,49880886.0,49871471.0,18343468.0,Araria,0,0,0,,5177,3067,0,14977.0,116.0,14859.0,,1177154,395227,2806200,2021-10-31 09:39,https://twitter.com/BiharHealthDept,,14978,116,14859,,1177154,395227,2021-11-03 09:39,119520000,2021-10-31 09:39,https://twitter.com/BiharHealthDept,,726098,9661,716390,50531824,49871471,18343468,68214939.0,269141.0,68214939.0,1572381.0,8244
1,1,2021-11-31,BR,8,0,9,226443.0,117767,151374,0,726079.0,9661.0,716375.0,49880886.0,49871471.0,18343468.0,Arwal,0,0,0,,262,1360,0,7381.0,74.0,7307.0,,345175,116424,700843,2021-10-31 09:39,https://twitter.com/BiharHealthDept,,7381,74,7307,,345175,116424,2021-11-03 09:39,119520000,2021-10-31 09:39,https://twitter.com/BiharHealthDept,,726098,9661,716390,50531824,49871471,18343468,68214939.0,269141.0,68214939.0,461599.0,1622
2,2,2021-11-31,BR,8,0,9,226443.0,117767,151374,0,726079.0,9661.0,716375.0,49880886.0,49871471.0,18343468.0,Aurangabad,0,0,0,,1264,2657,0,20011.0,75.0,19936.0,,1132482,407913,2511243,2021-10-31 09:39,https://twitter.com/BiharHealthDept,,20011,75,19936,,1132482,407913,2021-11-03 09:39,119520000,2021-10-31 09:39,https://twitter.com/BiharHealthDept,,726098,9661,716390,50531824,49871471,18343468,68214939.0,269141.0,68214939.0,1540395.0,3921
3,3,2021-11-31,BR,8,0,9,226443.0,117767,151374,0,726079.0,9661.0,716375.0,49880886.0,49871471.0,18343468.0,Banka,0,0,0,,2635,3138,0,7379.0,112.0,7267.0,,935177,351254,2029339,2021-10-31 09:39,https://twitter.com/BiharHealthDept,,7379,112,7267,,935177,351254,2021-11-03 09:39,119520000,2021-10-31 09:39,https://twitter.com/BiharHealthDept,,726098,9661,716390,50531824,49871471,18343468,68214939.0,269141.0,68214939.0,1286431.0,5773
4,4,2021-11-31,BR,8,0,9,226443.0,117767,151374,0,726079.0,9661.0,716375.0,49880886.0,49871471.0,18343468.0,Begusarai,0,0,1,,1906,2774,0,27211.0,457.0,26752.0,,1430906,480982,2954367,2021-10-31 09:39,https://twitter.com/BiharHealthDept,,27212,457,26754,,1430906,480982,2021-11-03 09:39,119520000,2021-10-31 09:39,https://twitter.com/BiharHealthDept,,726098,9661,716390,50531824,49871471,18343468,68214939.0,269141.0,68214939.0,1911888.0,4680
5,5,2021-11-31,BR,8,0,9,226443.0,117767,151374,0,726079.0,9661.0,716375.0,49880886.0,49871471.0,18343468.0,Bhagalpur,0,0,1,,2122,3458,0,25839.0,309.0,25530.0,,1494951,650332,3032226,2021-10-31 09:39,https://twitter.com/BiharHealthDept,,25840,309,25531,,1494951,650332,2021-11-03 09:39,119520000,2021-10-31 09:39,https://twitter.com/BiharHealthDept,,726098,9661,716390,50531824,49871471,18343468,68214939.0,269141.0,68214939.0,2145283.0,5580
6,6,2021-11-31,BR,8,0,9,226443.0,117767,151374,0,726079.0,9661.0,716375.0,49880886.0,49871471.0,18343468.0,Bhojpur,0,0,0,,3232,4879,0,10210.0,159.0,10051.0,,1291186,382719,2720155,2021-10-31 09:39,https://twitter.com/BiharHealthDept,,10210,159,10051,,1291186,382719,2021-11-03 09:39,119520000,2021-10-31 09:39,https://twitter.com/BiharHealthDept,,726098,9661,716390,50531824,49871471,18343468,68214939.0,269141.0,68214939.0,1673905.0,8111
7,7,2021-11-31,BR,8,0,9,226443.0,117767,151374,0,726079.0,9661.0,716375.0,49880886.0,49871471.0,18343468.0,Buxar,0,0,0,,1083,2516,0,9248.0,182.0,9066.0,,907374,322555,1707643,2021-10-31 09:39,https://twitter.com/BiharHealthDept,,9248,182,9066,,907374,322555,2021-11-03 09:39,119520000,2021-10-31 09:39,https://twitter.com/BiharHealthDept,,726098,9661,716390,50531824,49871471,18343468,68214939.0,269141.0,68214939.0,1229929.0,3599
8,8,2021-11-31,BR,8,0,9,226443.0,117767,151374,0,726079.0,9661.0,716375.0,49880886.0,49871471.0,18343468.0,Darbhanga,0,0,0,,2858,5306,0,10937.0,370.0,10567.0,,1869372,741553,3921971,2021-10-31 09:39,https://twitter.com/BiharHealthDept,,10937,370,10567,,1869372,741553,2021-11-03 09:39,119520000,2021-10-31 09:39,https://twitter.com/BiharHealthDept,,726098,9661,716390,50531824,49871471,18343468,68214939.0,269141.0,68214939.0,2610925.0,8164
9,9,2021-11-31,BR,8,0,9,226443.0,117767,151374,0,726079.0,9661.0,716375.0,49880886.0,49871471.0,18343468.0,Gaya,0,0,0,,1708,1689,0,,,,,1925234,722746,4379383,2021-10-31 09:39,https://twitter.com/BiharHealthDept,,33952,280,33672,,1925234,722746,2021-11-03 09:39,119520000,2021-10-31 09:39,https://twitter.com/BiharHealthDept,,726098,9661,716390,50531824,49871471,18343468,68214939.0,269141.0,68214939.0,2647980.0,3397
