,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,District,cumulativeConfirmedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeDeceasedNumberForDistrict,Date,State/UTCode,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,last_updated,cumulativeTestedNumberForState,tested_last_updated_state,deltaTestedForState,cumulativeVaccinatedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,tested_source_state,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaVaccinated2ForState,deltaVaccinated1ForState,deltaVaccinatedForState,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinatedForDistrict,deltaConfirmedForDistrict,deltaRecoveredForDistrict,deltaDeceasedForDistrict,7DmaConfirmedForState,7DmaRecoveredForState,7DmaDeceasedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,7DmaVaccinatedForState,7DmaConfirmedForDistrict,7DmaRecoveredForDistrict,7DmaDeceasedForDistrict,7DmaVaccinatedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,7DmaTestedForState,delta21_14confirmedForState,statePopulation,StateName,districtPopulation
0,0,0,0,0,0,Andaman and Nicobar Islands,7651,7518,129,2021-11-31,TT,34285814,458437,33668560,2021-11-04 16:26:14.741393,609201294,2021-10-31 00:00:00,881379,1068796182,736128383,332667799,495322,294097,201225,https://www.icmr.gov.in/,12514,251,12718,3160106,2195076,5355182,96,1068,1164,0,0,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363439.857142857,1340160.857142857,16386.14285714286,0,0,0,,,1332900000,Andaman and Nicobar Islands,397000
1,1,1,1,1,1,Andhra Pradesh,2066450,2047722,14373,2021-11-31,TT,34285814,458437,33668560,2021-11-04 16:26:14.741393,609201294,2021-10-31 00:00:00,881379,1068796182,736128383,332667799,53567267,33049051,20518216,https://www.icmr.gov.in/,12514,251,12718,3160106,2195076,5355182,72328,143444,215772,385,675,4,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363439.857142857,1340160.857142857,16386.14285714286,0,0,0,,,1332900000,Andhra Pradesh,52221000
2,2,2,2,2,2,Arunachal Pradesh,55155,54774,280,2021-11-31,TT,34285814,458437,33668560,2021-11-04 16:26:14.741393,609201294,2021-10-31 00:00:00,881379,1068796182,736128383,332667799,1312670,773158,539512,https://www.icmr.gov.in/,12514,251,12718,3160106,2195076,5355182,1283,5026,6309,1,9,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363439.857142857,1340160.857142857,16386.14285714286,0,0,0,,,1332900000,Arunachal Pradesh,1504000
3,3,3,3,3,3,Assam,610645,600974,5997,2021-11-31,TT,34285814,458437,33668560,2021-11-04 16:26:14.741393,609201294,2021-10-31 00:00:00,881379,1068796182,736128383,332667799,28422572,20206410,8216162,https://www.icmr.gov.in/,12514,251,12718,3160106,2195076,5355182,34340,147590,181930,212,236,1,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363439.857142857,1340160.857142857,16386.14285714286,0,0,0,,,1332900000,Assam,34293000
4,4,4,4,4,4,Bihar,726098,716390,9661,2021-11-31,TT,34285814,458437,33668560,2021-11-04 16:26:14.741393,609201294,2021-10-31 00:00:00,881379,1068796182,736128383,332667799,68499978,49981681,18518297,https://www.icmr.gov.in/,12514,251,12718,3160106,2195076,5355182,110210,174829,285039,8,9,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363439.857142857,1340160.857142857,16386.14285714286,0,0,0,,,1332900000,Bihar,119520000
5,5,5,5,5,5,Chandigarh,65351,64495,820,2021-11-31,TT,34285814,458437,33668560,2021-11-04 16:26:14.741393,609201294,2021-10-31 00:00:00,881379,1068796182,736128383,332667799,1475630,926381,549249,https://www.icmr.gov.in/,12514,251,12718,3160106,2195076,5355182,346,2268,2614,5,3,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363439.857142857,1340160.857142857,16386.14285714286,0,0,0,,,1332900000,Chandigarh,1179000
6,6,6,6,6,6,Chhattisgarh,1006052,992159,13577,2021-11-31,TT,34285814,458437,33668560,2021-11-04 16:26:14.741393,609201294,2021-10-31 00:00:00,881379,1068796182,736128383,332667799,22247847,14867456,7380391,https://www.icmr.gov.in/,12514,251,12718,3160106,2195076,5355182,17329,38551,55880,32,32,1,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363439.857142857,1340160.857142857,16386.14285714286,0,0,0,,,1332900000,Chhattisgarh,28724000
7,7,7,7,7,7,Dadra and Nagar Haveli and Daman and Diu,10682,10674,4,2021-11-31,TT,34285814,458437,33668560,2021-11-04 16:26:14.741393,609201294,2021-10-31 00:00:00,881379,1068796182,736128383,332667799,1034028,661256,372772,https://www.icmr.gov.in/,12514,251,12718,3160106,2195076,5355182,503,2519,3022,0,2,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363439.857142857,1340160.857142857,16386.14285714286,0,0,0,,,1332900000,Dadra and Nagar Haveli and Daman and Diu,959000
8,8,8,8,8,8,Delhi,1439870,1414431,25091,2021-11-31,TT,34285814,458437,33668560,2021-11-04 16:26:14.741393,609201294,2021-10-31 00:00:00,881379,1068796182,736128383,332667799,20534331,13076142,7458189,https://www.icmr.gov.in/,12514,251,12718,3160106,2195076,5355182,20515,32810,53325,45,46,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363439.857142857,1340160.857142857,16386.14285714286,0,0,0,,,1332900000,Delhi,19814000
9,9,9,9,9,9,Goa,178108,174392,3364,2021-11-31,TT,34285814,458437,33668560,2021-11-04 16:26:14.741393,609201294,2021-10-31 00:00:00,881379,1068796182,736128383,332667799,2181110,1263588,917522,https://www.icmr.gov.in/,12514,251,12718,3160106,2195076,5355182,1030,6440,7470,23,53,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363439.857142857,1340160.857142857,16386.14285714286,0,0,0,,,1332900000,Goa,1540000
