Date,State/UTCode,District,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinatedNumberForDistrict,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForState
2021-10-01,ML,East Garo Hills,1843,10,1829,,46070,15408,61478,81445,1404,78375,1078318.0,1072825,478002,1550827
2021-10-01,ML,East Jaintia Hills,2412,31,2365,,62728,23713,86441,81445,1404,78375,1078318.0,1072825,478002,1550827
2021-10-01,ML,East Khasi Hills,39727,966,37956,,310831,179112,489943,81445,1404,78375,1078318.0,1072825,478002,1550827
2021-10-01,ML,North Garo Hills,1678,8,1667,,60475,16601,77076,81445,1404,78375,1078318.0,1072825,478002,1550827
2021-10-01,ML,Ribhoi,9593,83,9331,,88377,34146,122523,81445,1404,78375,1078318.0,1072825,478002,1550827
2021-10-01,ML,South Garo Hills,1212,12,1199,,38849,14640,53489,81445,1404,78375,1078318.0,1072825,478002,1550827
2021-10-01,ML,South West Garo Hills,1863,17,1840,,70596,26265,96861,81445,1404,78375,1078318.0,1072825,478002,1550827
2021-10-01,ML,South West Khasi Hills,2521,16,2466,,33029,13618,46647,81445,1404,78375,1078318.0,1072825,478002,1550827
2021-10-01,ML,West Garo Hills,8983,72,8883,,204339,84978,289317,81445,1404,78375,1078318.0,1072825,478002,1550827
2021-10-01,ML,West Jaintia Hills,6678,128,6364,,82562,33731,116293,81445,1404,78375,1078318.0,1072825,478002,1550827
2021-10-01,ML,West Khasi Hills,4935,61,4475,,74969,35790,110759,81445,1404,78375,1078318.0,1072825,478002,1550827
