Date,State/UTCode,District,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinatedNumberForDistrict,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForState
2021-10-04,JH,Bokaro,19438,286,19148,11798.0,884153,251609,1135762,348272,5135,343047,14935686.0,13892221,4322826,18215047
2021-10-04,JH,Chatra,6033,53,5977,,433436,93032,526468,348272,5135,343047,14935686.0,13892221,4322826,18215047
2021-10-04,JH,Deoghar,10830,113,10715,6951.0,535343,164325,699668,348272,5135,343047,14935686.0,13892221,4322826,18215047
2021-10-04,JH,Dhanbad,16559,382,16173,,1050682,348054,1398736,348272,5135,343047,14935686.0,13892221,4322826,18215047
2021-10-04,JH,Dumka,4634,47,4587,5400.0,604470,178620,783090,348272,5135,343047,14935686.0,13892221,4322826,18215047
2021-10-04,JH,East Singhbhum,51883,1044,50821,,1361161,554443,1915604,348272,5135,343047,14935686.0,13892221,4322826,18215047
2021-10-04,JH,Garhwa,6888,94,6794,,415238,113768,529006,348272,5135,343047,14935686.0,13892221,4322826,18215047
2021-10-04,JH,Giridih,8964,130,8833,11132.0,939487,223694,1163181,348272,5135,343047,14935686.0,13892221,4322826,18215047
2021-10-04,JH,Godda,5839,87,5752,10980.0,500991,147133,648124,348272,5135,343047,14935686.0,13892221,4322826,18215047
2021-10-04,JH,Gumla,9895,38,9857,,369115,127558,496673,348272,5135,343047,14935686.0,13892221,4322826,18215047
2021-10-04,JH,Hazaribagh,19587,186,19401,,815244,239629,1054873,348272,5135,343047,14935686.0,13892221,4322826,18215047
2021-10-04,JH,Jamtara,5594,60,5527,2880.0,347765,100992,448757,348272,5135,343047,14935686.0,13892221,4322826,18215047
2021-10-04,JH,Khunti,7815,96,7717,3852.0,213978,91191,305169,348272,5135,343047,14935686.0,13892221,4322826,18215047
2021-10-04,JH,Koderma,12872,136,12736,,352540,112000,464540,348272,5135,343047,14935686.0,13892221,4322826,18215047
2021-10-04,JH,Latehar,7871,57,7814,,270308,64407,334715,348272,5135,343047,14935686.0,13892221,4322826,18215047
2021-10-04,JH,Lohardaga,6709,88,6619,7526.0,160083,49178,209261,348272,5135,343047,14935686.0,13892221,4322826,18215047
2021-10-04,JH,Pakur,2551,12,2539,6429.0,345861,84595,430456,348272,5135,343047,14935686.0,13892221,4322826,18215047
2021-10-04,JH,Palamu,12294,110,12184,,723177,223490,946667,348272,5135,343047,14935686.0,13892221,4322826,18215047
2021-10-04,JH,Ramgarh,13912,197,13713,,496880,144602,641482,348272,5135,343047,14935686.0,13892221,4322826,18215047
2021-10-04,JH,Ranchi,85828,1585,84201,,1372620,523074,1895694,348272,5135,343047,14935686.0,13892221,4322826,18215047
2021-10-04,JH,Sahibganj,4834,42,4792,5029.0,388382,94283,482665,348272,5135,343047,14935686.0,13892221,4322826,18215047
2021-10-04,JH,Saraikela-Kharsawan,7207,67,7137,161796.0,459091,128935,588026,348272,5135,343047,14935686.0,13892221,4322826,18215047
2021-10-04,JH,Simdega,7193,92,7101,,265948,92682,358630,348272,5135,343047,14935686.0,13892221,4322826,18215047
2021-10-04,JH,West Singhbhum,13042,133,12909,,586268,171532,757800,348272,5135,343047,14935686.0,13892221,4322826,18215047
