Date,State/UTCode,District,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinatedNumberForDistrict,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForState
2021-10-08,AR,Anjaw,1068,3,1060,2845.0,11587,6697,18284,54865,280,54196,1160347.0,762052,460279,1222331
2021-10-08,AR,Capital Complex,0,0,0,115210.0,,,,54865,280,54196,1160347.0,762052,460279,1222331
2021-10-08,AR,Changlang,3799,22,3774,23861.0,87669,47059,134728,54865,280,54196,1160347.0,762052,460279,1222331
2021-10-08,AR,East Kameng,1094,0,1088,7489.0,22712,13662,36374,54865,280,54196,1160347.0,762052,460279,1222331
2021-10-08,AR,East Siang,3189,17,3136,21867.0,53239,34263,87502,54865,280,54196,1160347.0,762052,460279,1222331
2021-10-08,AR,Kamle,512,0,512,1385.0,6694,2810,9504,54865,280,54196,1160347.0,762052,460279,1222331
2021-10-08,AR,Kra Daadi,270,0,269,3218.0,6258,3117,9375,54865,280,54196,1160347.0,762052,460279,1222331
2021-10-08,AR,Kurung Kumey,511,1,509,4201.0,9046,4517,13563,54865,280,54196,1160347.0,762052,460279,1222331
2021-10-08,AR,Lepa Rada,872,3,866,6747.0,13261,9346,22607,54865,280,54196,1160347.0,762052,460279,1222331
2021-10-08,AR,Lohit,2872,26,2790,14945.0,30578,17741,48319,54865,280,54196,1160347.0,762052,460279,1222331
2021-10-08,AR,Longding,751,2,747,10342.0,18984,6072,25056,54865,280,54196,1160347.0,762052,460279,1222331
2021-10-08,AR,Lower Dibang Valley,2399,11,2323,12169.0,32147,19058,51205,54865,280,54196,1160347.0,762052,460279,1222331
2021-10-08,AR,Lower Siang,738,8,730,7070.0,16375,8479,24854,54865,280,54196,1160347.0,762052,460279,1222331
2021-10-08,AR,Lower Subansiri,3020,15,2984,10564.0,26660,16330,42990,54865,280,54196,1160347.0,762052,460279,1222331
2021-10-08,AR,Namsai,2096,17,2055,19987.0,62813,39259,102072,54865,280,54196,1160347.0,762052,460279,1222331
2021-10-08,AR,Pakke Kessang,452,0,437,3327.0,7957,4350,12307,54865,280,54196,1160347.0,762052,460279,1222331
2021-10-08,AR,Papum Pare,18255,98,18143,41960.0,138345,88065,226410,54865,280,54196,1160347.0,762052,460279,1222331
2021-10-08,AR,Shi Yomi,250,0,239,2169.0,6894,5239,12133,54865,280,54196,1160347.0,762052,460279,1222331
2021-10-08,AR,Siang,411,3,408,4270.0,14325,7997,22322,54865,280,54196,1160347.0,762052,460279,1222331
2021-10-08,AR,Tawang,2537,20,2470,14224.0,29339,21580,50919,54865,280,54196,1160347.0,762052,460279,1222331
2021-10-08,AR,Tirap,1105,5,1094,14657.0,31402,17789,49191,54865,280,54196,1160347.0,762052,460279,1222331
2021-10-08,AR,Upper Dibang Valley,336,2,332,1910.0,4127,2402,6529,54865,280,54196,1160347.0,762052,460279,1222331
2021-10-08,AR,Upper Siang,1014,1,1001,6564.0,18361,11574,29935,54865,280,54196,1160347.0,762052,460279,1222331
2021-10-08,AR,Upper Subansiri,1958,6,1952,6217.0,24606,13687,38293,54865,280,54196,1160347.0,762052,460279,1222331
2021-10-08,AR,West Kameng,3499,14,3432,28155.0,55057,33335,88392,54865,280,54196,1160347.0,762052,460279,1222331
2021-10-08,AR,West Siang,1857,6,1845,13192.0,33616,25851,59467,54865,280,54196,1160347.0,762052,460279,1222331
