Date,State/UTCode,District,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinatedNumberForDistrict,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForState
2021-10-09,MH,Ahmednagar,334723,6933,323986,11077.0,2227339,779998,3007337,6575578,139514,6399464,60057326.0,60647926,26637547,87285473
2021-10-09,MH,Akola,58739,1423,57286,,669773,316209,985982,6575578,139514,6399464,60057326.0,60647926,26637547,87285473
2021-10-09,MH,Amravati,96222,1594,94526,,1118777,475582,1594359,6575578,139514,6399464,60057326.0,60647926,26637547,87285473
2021-10-09,MH,Aurangabad,154896,4250,150095,11800.0,1591162,609162,2200324,6575578,139514,6399464,60057326.0,60647926,26637547,87285473
2021-10-09,MH,Beed,103417,2783,100311,111488.0,1004672,400484,1405156,6575578,139514,6399464,60057326.0,60647926,26637547,87285473
2021-10-09,MH,Bhandara,60073,1123,58939,54195.0,792543,346705,1139248,6575578,139514,6399464,60057326.0,60647926,26637547,87285473
2021-10-09,MH,Buldhana,85472,792,84665,115874.0,1009490,436290,1445780,6575578,139514,6399464,60057326.0,60647926,26637547,87285473
2021-10-09,MH,Chandrapur,88920,1559,87230,199809.0,1199251,383733,1582984,6575578,139514,6399464,60057326.0,60647926,26637547,87285473
2021-10-09,MH,Dhule,46153,654,45480,90092.0,903757,402022,1305779,6575578,139514,6399464,60057326.0,60647926,26637547,87285473
2021-10-09,MH,Gadchiroli,30428,669,29712,11993.0,469906,179032,648938,6575578,139514,6399464,60057326.0,60647926,26637547,87285473
2021-10-09,MH,Gondia,40517,569,39938,130146.0,805620,363146,1168766,6575578,139514,6399464,60057326.0,60647926,26637547,87285473
2021-10-09,MH,Hingoli,18464,506,17938,6797.0,448007,159144,607151,6575578,139514,6399464,60057326.0,60647926,26637547,87285473
2021-10-09,MH,Jalgaon,139896,2712,137136,429198.0,1905223,625506,2530729,6575578,139514,6399464,60057326.0,60647926,26637547,87285473
2021-10-09,MH,Jalna,60528,1209,59258,117047.0,910037,351580,1261617,6575578,139514,6399464,60057326.0,60647926,26637547,87285473
2021-10-09,MH,Kolhapur,206449,5842,200255,,2410595,976218,3386813,6575578,139514,6399464,60057326.0,60647926,26637547,87285473
2021-10-09,MH,Latur,91978,2430,89270,,953912,405178,1359090,6575578,139514,6399464,60057326.0,60647926,26637547,87285473
2021-10-09,MH,Mumbai,748195,16152,723606,2789713.0,8749913,4855519,13605432,6575578,139514,6399464,60057326.0,60647926,26637547,87285473
2021-10-09,MH,Nagpur,493504,9128,484223,382083.0,2690696,1188427,3879123,6575578,139514,6399464,60057326.0,60647926,26637547,87285473
2021-10-09,MH,Nanded,90342,2658,87670,117319.0,1169173,433313,1602486,6575578,139514,6399464,60057326.0,60647926,26637547,87285473
2021-10-09,MH,Nandurbar,40004,947,39049,37740.0,651399,297076,948475,6575578,139514,6399464,60057326.0,60647926,26637547,87285473
2021-10-09,MH,Nashik,409094,8642,399642,498397.0,2942964,1106175,4049139,6575578,139514,6399464,60057326.0,60647926,26637547,87285473
2021-10-09,MH,Osmanabad,67375,1951,64779,109450.0,683969,274313,958282,6575578,139514,6399464,60057326.0,60647926,26637547,87285473
2021-10-09,MH,Other State,144,111,0,,,,,6575578,139514,6399464,60057326.0,60647926,26637547,87285473
2021-10-09,MH,Palghar,137156,3278,133249,319724.0,1605321,565683,2171004,6575578,139514,6399464,60057326.0,60647926,26637547,87285473
2021-10-09,MH,Parbhani,52321,1230,50983,110937.0,757031,321106,1078137,6575578,139514,6399464,60057326.0,60647926,26637547,87285473
2021-10-09,MH,Pune,1147436,19506,1119159,97127.0,7377045,3726124,11103169,6575578,139514,6399464,60057326.0,60647926,26637547,87285473
2021-10-09,MH,Raigad,194520,4527,188367,304088.0,1663965,670491,2334456,6575578,139514,6399464,60057326.0,60647926,26637547,87285473
2021-10-09,MH,Ratnagiri,78451,2444,75442,,837525,358943,1196468,6575578,139514,6399464,60057326.0,60647926,26637547,87285473
2021-10-09,MH,Sangli,208938,5598,202473,,1724432,687768,2412200,6575578,139514,6399464,60057326.0,60647926,26637547,87285473
2021-10-09,MH,Satara,249254,6344,240996,312742.0,1844406,772469,2616875,6575578,139514,6399464,60057326.0,60647926,26637547,87285473
2021-10-09,MH,Sindhudurg,52250,1415,50141,,494994,260932,755926,6575578,139514,6399464,60057326.0,60647926,26637547,87285473
2021-10-09,MH,Solapur,209186,5496,202607,629266.0,1854510,582077,2436587,6575578,139514,6399464,60057326.0,60647926,26637547,87285473
2021-10-09,MH,Thane,605606,11387,589964,1229625.0,4924579,2372927,7297506,6575578,139514,6399464,60057326.0,60647926,26637547,87285473
2021-10-09,MH,Wardha,57330,1217,55945,52365.0,690785,270378,961163,6575578,139514,6399464,60057326.0,60647926,26637547,87285473
2021-10-09,MH,Washim,41645,637,41000,,510520,270584,781104,6575578,139514,6399464,60057326.0,60647926,26637547,87285473
2021-10-09,MH,Yavatmal,75952,1798,74144,141551.0,1054635,413253,1467888,6575578,139514,6399464,60057326.0,60647926,26637547,87285473
