Date,State/UTCode,District,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinatedNumberForDistrict,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForState
2021-10-11,CT,Balod,27273,396,26877,2749.0,496594,231414,728008,1005554,13570,991788,13336047.0,13165236,6013146,19178382
2021-10-11,CT,Baloda Bazar,43079,471,42598,3816.0,532562,169238,701800,1005554,13570,991788,13336047.0,13165236,6013146,19178382
2021-10-11,CT,Balrampur,20300,118,20181,21481.0,253537,82499,336036,1005554,13570,991788,13336047.0,13165236,6013146,19178382
2021-10-11,CT,Bametara,19961,236,19721,3113.0,341579,109764,451343,1005554,13570,991788,13336047.0,13165236,6013146,19178382
2021-10-11,CT,Bastar,21031,188,20839,4522.0,382789,154508,537297,1005554,13570,991788,13336047.0,13165236,6013146,19178382
2021-10-11,CT,Bijapur,8313,55,8256,1239.0,94810,41464,136274,1005554,13570,991788,13336047.0,13165236,6013146,19178382
2021-10-11,CT,Bilaspur,65639,1207,64414,9823.0,904227,414458,1318685,1005554,13570,991788,13336047.0,13165236,6013146,19178382
2021-10-11,CT,Dakshin Bastar Dantewada,10830,25,10796,1168.0,139902,71394,211296,1005554,13570,991788,13336047.0,13165236,6013146,19178382
2021-10-11,CT,Dhamtari,27232,545,26684,1501.0,464679,196796,661475,1005554,13570,991788,13336047.0,13165236,6013146,19178382
2021-10-11,CT,Durg,96796,1797,94969,5020.0,890136,470284,1360420,1005554,13570,991788,13336047.0,13165236,6013146,19178382
2021-10-11,CT,Gariaband,19700,194,19504,2096.0,256837,82632,339469,1005554,13570,991788,13336047.0,13165236,6013146,19178382
2021-10-11,CT,Gaurela Pendra Marwahi,12010,146,11864,273.0,150367,64677,215044,1005554,13570,991788,13336047.0,13165236,6013146,19178382
2021-10-11,CT,Janjgir Champa,57589,837,56736,4016.0,787156,261198,1048354,1005554,13570,991788,13336047.0,13165236,6013146,19178382
2021-10-11,CT,Jashpur,27071,212,26851,2542.0,391346,152603,543949,1005554,13570,991788,13336047.0,13165236,6013146,19178382
2021-10-11,CT,Kabeerdham,22770,267,22503,2829.0,350454,134323,484777,1005554,13570,991788,13336047.0,13165236,6013146,19178382
2021-10-11,CT,Kondagaon,13133,99,13032,1607.0,278923,78361,357284,1005554,13570,991788,13336047.0,13165236,6013146,19178382
2021-10-11,CT,Korba,54792,580,54188,10034.0,577018,236839,813857,1005554,13570,991788,13336047.0,13165236,6013146,19178382
2021-10-11,CT,Koriya,26973,176,26796,2689.0,326327,113976,440303,1005554,13570,991788,13336047.0,13165236,6013146,19178382
2021-10-11,CT,Mahasamund,31363,365,30998,2183.0,676335,307559,983894,1005554,13570,991788,13336047.0,13165236,6013146,19178382
2021-10-11,CT,Mungeli,23916,167,23748,2922.0,244825,89210,334035,1005554,13570,991788,13336047.0,13165236,6013146,19178382
2021-10-11,CT,Narayanpur,4018,14,4004,804.0,45537,16458,61995,1005554,13570,991788,13336047.0,13165236,6013146,19178382
2021-10-11,CT,Other State,793,131,657,,,,,1005554,13570,991788,13336047.0,13165236,6013146,19178382
2021-10-11,CT,Raigarh,62564,978,61573,5084.0,963551,731744,1695295,1005554,13570,991788,13336047.0,13165236,6013146,19178382
2021-10-11,CT,Raipur,157960,3139,154800,12704.0,1434570,799919,2234489,1005554,13570,991788,13336047.0,13165236,6013146,19178382
2021-10-11,CT,Rajnandgaon,56068,515,55545,124947.0,946274,442060,1388334,1005554,13570,991788,13336047.0,13165236,6013146,19178382
2021-10-11,CT,Sukma,8054,20,8030,1723.0,117611,67192,184803,1005554,13570,991788,13336047.0,13165236,6013146,19178382
2021-10-11,CT,Surajpur,29029,224,28802,1830.0,362614,132011,494625,1005554,13570,991788,13336047.0,13165236,6013146,19178382
2021-10-11,CT,Surguja,33670,245,33423,103578.0,398047,217265,615312,1005554,13570,991788,13336047.0,13165236,6013146,19178382
2021-10-11,CT,Uttar Bastar Kanker,23627,223,23399,2051.0,356629,143300,499929,1005554,13570,991788,13336047.0,13165236,6013146,19178382
