Date,State/UTCode,District,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinatedNumberForDistrict,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForState
2021-10-03,MP,Agar Malwa,3303,68,3235,,418942,92529,511471,792556,10522,781917,18718797.0,48622672,15352246,63974918
2021-10-03,MP,Alirajpur,3504,48,3453,,361922,91301,453223,792556,10522,781917,18718797.0,48622672,15352246,63974918
2021-10-03,MP,Anuppur,9238,89,9140,3424.0,469799,107104,576903,792556,10522,781917,18718797.0,48622672,15352246,63974918
2021-10-03,MP,Ashoknagar,3670,57,3613,55792.0,546242,144716,690958,792556,10522,781917,18718797.0,48622672,15352246,63974918
2021-10-03,MP,Balaghat,9098,64,9017,9654.0,1206424,346935,1553359,792556,10522,781917,18718797.0,48622672,15352246,63974918
2021-10-03,MP,Barwani,8366,90,8267,41588.0,779158,174090,953248,792556,10522,781917,18718797.0,48622672,15352246,63974918
2021-10-03,MP,Betul,12903,277,12590,68036.0,1030205,265984,1296189,792556,10522,781917,18718797.0,48622672,15352246,63974918
2021-10-03,MP,Bhind,2994,32,2960,44395.0,1019505,254161,1273666,792556,10522,781917,18718797.0,48622672,15352246,63974918
2021-10-03,MP,Bhopal,123435,972,122121,245166.0,1963485,1030330,2993815,792556,10522,781917,18718797.0,48622672,15352246,63974918
2021-10-03,MP,Burhanpur,2568,39,2529,13040.0,485902,197109,683011,792556,10522,781917,18718797.0,48622672,15352246,63974918
2021-10-03,MP,Chhatarpur,7608,91,7506,50518.0,1067905,240088,1307993,792556,10522,781917,18718797.0,48622672,15352246,63974918
2021-10-03,MP,Chhindwara,6732,120,6612,79090.0,1480315,367519,1847834,792556,10522,781917,18718797.0,48622672,15352246,63974918
2021-10-03,MP,Damoh,8120,186,7841,16564.0,795606,217336,1012942,792556,10522,781917,18718797.0,48622672,15352246,63974918
2021-10-03,MP,Datia,6959,78,6874,40322.0,546517,177711,724228,792556,10522,781917,18718797.0,48622672,15352246,63974918
2021-10-03,MP,Dewas,7723,51,7672,96155.0,991495,379283,1370778,792556,10522,781917,18718797.0,48622672,15352246,63974918
2021-10-03,MP,Dhar,12550,130,12388,62597.0,1350887,392583,1743470,792556,10522,781917,18718797.0,48622672,15352246,63974918
2021-10-03,MP,Dindori,4623,29,4588,3557.0,466480,131096,597576,792556,10522,781917,18718797.0,48622672,15352246,63974918
2021-10-03,MP,Guna,5132,44,5085,40229.0,802384,199460,1001844,792556,10522,781917,18718797.0,48622672,15352246,63974918
2021-10-03,MP,Gwalior,53104,633,52427,206696.0,1405968,585515,1991483,792556,10522,781917,18718797.0,48622672,15352246,63974918
2021-10-03,MP,Harda,5055,96,4954,36708.0,389900,107483,497383,792556,10522,781917,18718797.0,48622672,15352246,63974918
2021-10-03,MP,Hoshangabad,10682,99,10570,46294.0,855183,272982,1128165,792556,10522,781917,18718797.0,48622672,15352246,63974918
2021-10-03,MP,Indore,153159,1391,151410,780266.0,2898969,1535013,4433982,792556,10522,781917,18718797.0,48622672,15352246,63974918
2021-10-03,MP,Jabalpur,50767,670,49896,293923.0,1892287,760102,2652389,792556,10522,781917,18718797.0,48622672,15352246,63974918
2021-10-03,MP,Jhabua,7689,64,7619,52146.0,592069,127000,719069,792556,10522,781917,18718797.0,48622672,15352246,63974918
2021-10-03,MP,Katni,9366,120,9242,56828.0,846374,199932,1046306,792556,10522,781917,18718797.0,48622672,15352246,63974918
