Date,State/UTCode,District,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinatedNumberForDistrict,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForState
2021-10-05,ML,East Garo Hills,1849,10,1830,,46210,16015,62225,81955,1409,79173,1089281.0,1076048,496944,1572992
2021-10-05,ML,East Jaintia Hills,2416,31,2370,,62953,24755,87708,81955,1409,79173,1089281.0,1076048,496944,1572992
2021-10-05,ML,East Khasi Hills,40044,967,38310,,311738,185092,496830,81955,1409,79173,1089281.0,1076048,496944,1572992
2021-10-05,ML,North Garo Hills,1679,8,1668,,60657,17491,78148,81955,1409,79173,1089281.0,1076048,496944,1572992
2021-10-05,ML,Ribhoi,9615,85,9458,,88714,35754,124468,81955,1409,79173,1089281.0,1076048,496944,1572992
2021-10-05,ML,South Garo Hills,1212,12,1199,,38934,14914,53848,81955,1409,79173,1089281.0,1076048,496944,1572992
2021-10-05,ML,South West Garo Hills,1865,17,1842,,70860,27429,98289,81955,1409,79173,1089281.0,1076048,496944,1572992
2021-10-05,ML,South West Khasi Hills,2529,16,2492,,33060,13999,47059,81955,1409,79173,1089281.0,1076048,496944,1572992
2021-10-05,ML,West Garo Hills,8988,72,8896,,204872,89632,294504,81955,1409,79173,1089281.0,1076048,496944,1572992
2021-10-05,ML,West Jaintia Hills,6718,128,6437,,82832,35287,118119,81955,1409,79173,1089281.0,1076048,496944,1572992
2021-10-05,ML,West Khasi Hills,5040,63,4671,,75218,36576,111794,81955,1409,79173,1089281.0,1076048,496944,1572992
