Date,State/UTCode,District,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinatedNumberForDistrict,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForState
2021-10-05,PB,Amritsar,47324,1591,45719,89227.0,1155196,375624,1530820,601752,16525,584966,14678042.0,14823124,5263685,20086809
2021-10-05,PB,Barnala,5941,244,5686,63447.0,290866,84880,375746,601752,16525,584966,14678042.0,14823124,5263685,20086809
2021-10-05,PB,Bathinda,41691,1041,40643,118489.0,579528,170934,750462,601752,16525,584966,14678042.0,14823124,5263685,20086809
2021-10-05,PB,Faridkot,13902,314,13580,23635.0,314420,110660,425080,601752,16525,584966,14678042.0,14823124,5263685,20086809
2021-10-05,PB,Fatehgarh Sahib,8869,332,8531,68436.0,340422,111223,451645,601752,16525,584966,14678042.0,14823124,5263685,20086809
2021-10-05,PB,Fazilka,20252,527,19702,63589.0,435890,103677,539567,601752,16525,584966,14678042.0,14823124,5263685,20086809
2021-10-05,PB,Ferozepur,14322,503,13812,74880.0,440586,105691,546277,601752,16525,584966,14678042.0,14823124,5263685,20086809
2021-10-05,PB,Gurdaspur,22360,799,21535,249039.0,804138,336021,1140159,601752,16525,584966,14678042.0,14823124,5263685,20086809
2021-10-05,PB,Hoshiarpur,30781,982,29788,221261.0,969036,486668,1455704,601752,16525,584966,14678042.0,14823124,5263685,20086809
2021-10-05,PB,Jalandhar,63333,1495,61803,443735.0,1351654,584754,1936408,601752,16525,584966,14678042.0,14823124,5263685,20086809
2021-10-05,PB,Kapurthala,17835,555,17272,38658.0,426235,155673,581908,601752,16525,584966,14678042.0,14823124,5263685,20086809
2021-10-05,PB,Ludhiana,87548,2103,85431,514691.0,2190888,775397,2966285,601752,16525,584966,14678042.0,14823124,5263685,20086809
2021-10-05,PB,Mansa,15601,375,15225,26878.0,345551,72347,417898,601752,16525,584966,14678042.0,14823124,5263685,20086809
2021-10-05,PB,Moga,8659,233,8420,77307.0,507980,148376,656356,601752,16525,584966,14678042.0,14823124,5263685,20086809
2021-10-05,PB,Pathankot,18747,419,18319,29112.0,417435,177490,594925,601752,16525,584966,14678042.0,14823124,5263685,20086809
2021-10-05,PB,Patiala,48892,1356,47520,273344.0,993911,348157,1342068,601752,16525,584966,14678042.0,14823124,5263685,20086809
2021-10-05,PB,Rupnagar,12927,423,12496,97745.0,372726,156954,529680,601752,16525,584966,14678042.0,14823124,5263685,20086809
2021-10-05,PB,S.A.S. Nagar,68749,1068,67653,41532.0,848754,362802,1211556,601752,16525,584966,14678042.0,14823124,5263685,20086809
2021-10-05,PB,Sangrur,15752,875,14866,166332.0,661610,181135,842745,601752,16525,584966,14678042.0,14823124,5263685,20086809
2021-10-05,PB,Shahid Bhagat Singh Nagar,11462,388,11071,77715.0,379165,153813,532978,601752,16525,584966,14678042.0,14823124,5263685,20086809
2021-10-05,PB,Sri Muktsar Sahib,18773,523,18246,67979.0,450373,117872,568245,601752,16525,584966,14678042.0,14823124,5263685,20086809
2021-10-05,PB,Tarn Taran,8032,379,7648,111446.0,546760,143537,690297,601752,16525,584966,14678042.0,14823124,5263685,20086809
