Date,State/UTCode,District,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinatedNumberForDistrict,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForState
2021-10-07,AR,Anjaw,1066,3,1060,2845.0,11582,6567,18149,54844,279,54146,1158462.0,761364,454748,1216112
2021-10-07,AR,Capital Complex,0,0,0,115210.0,,,,54844,279,54146,1158462.0,761364,454748,1216112
2021-10-07,AR,Changlang,3798,22,3774,23861.0,87561,46574,134135,54844,279,54146,1158462.0,761364,454748,1216112
2021-10-07,AR,East Kameng,1094,0,1088,7489.0,22671,13354,36025,54844,279,54146,1158462.0,761364,454748,1216112
2021-10-07,AR,East Siang,3188,17,3129,21867.0,53204,33950,87154,54844,279,54146,1158462.0,761364,454748,1216112
2021-10-07,AR,Kamle,512,0,512,1385.0,6672,2788,9460,54844,279,54146,1158462.0,761364,454748,1216112
2021-10-07,AR,Kra Daadi,269,0,269,3218.0,6253,3023,9276,54844,279,54146,1158462.0,761364,454748,1216112
2021-10-07,AR,Kurung Kumey,511,1,509,4201.0,8994,4364,13358,54844,279,54146,1158462.0,761364,454748,1216112
2021-10-07,AR,Lepa Rada,872,3,866,6747.0,13259,9288,22547,54844,279,54146,1158462.0,761364,454748,1216112
2021-10-07,AR,Lohit,2871,26,2778,14945.0,30546,17521,48067,54844,279,54146,1158462.0,761364,454748,1216112
2021-10-07,AR,Longding,751,2,746,10342.0,18978,6064,25042,54844,279,54146,1158462.0,761364,454748,1216112
2021-10-07,AR,Lower Dibang Valley,2398,11,2316,12169.0,32111,18736,50847,54844,279,54146,1158462.0,761364,454748,1216112
2021-10-07,AR,Lower Siang,738,8,730,7070.0,16371,8410,24781,54844,279,54146,1158462.0,761364,454748,1216112
2021-10-07,AR,Lower Subansiri,3018,15,2982,10564.0,26644,16253,42897,54844,279,54146,1158462.0,761364,454748,1216112
2021-10-07,AR,Namsai,2096,17,2052,19987.0,62739,38560,101299,54844,279,54146,1158462.0,761364,454748,1216112
2021-10-07,AR,Pakke Kessang,447,0,437,3327.0,7952,4328,12280,54844,279,54146,1158462.0,761364,454748,1216112
2021-10-07,AR,Papum Pare,18252,98,18139,41960.0,138230,87318,225548,54844,279,54146,1158462.0,761364,454748,1216112
2021-10-07,AR,Shi Yomi,250,0,239,2169.0,6894,5229,12123,54844,279,54146,1158462.0,761364,454748,1216112
2021-10-07,AR,Siang,411,3,408,4270.0,14319,7747,22066,54844,279,54146,1158462.0,761364,454748,1216112
2021-10-07,AR,Tawang,2535,19,2468,14224.0,29325,21458,50783,54844,279,54146,1158462.0,761364,454748,1216112
2021-10-07,AR,Tirap,1104,5,1092,14657.0,31383,17301,48684,54844,279,54146,1158462.0,761364,454748,1216112
2021-10-07,AR,Upper Dibang Valley,336,2,332,1910.0,4114,2269,6383,54844,279,54146,1158462.0,761364,454748,1216112
2021-10-07,AR,Upper Siang,1013,1,998,6564.0,18338,11458,29796,54844,279,54146,1158462.0,761364,454748,1216112
2021-10-07,AR,Upper Subansiri,1958,6,1952,6217.0,24589,13581,38170,54844,279,54146,1158462.0,761364,454748,1216112
2021-10-07,AR,West Kameng,3499,14,3426,28155.0,55027,32942,87969,54844,279,54146,1158462.0,761364,454748,1216112
2021-10-07,AR,West Siang,1857,6,1844,13192.0,33608,25665,59273,54844,279,54146,1158462.0,761364,454748,1216112
