Date,State/UTCode,District,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinatedNumberForDistrict,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForState
2021-10-09,KA,Bagalkote,35175,333,34838,49851.0,1060900,432690,1493590,2980621,37875,2932322,48674279.0,40108996,18706393,58815389
2021-10-09,KA,Ballari,97725,1689,95907,402407.0,1613718,672394,2286112,2980621,37875,2932322,48674279.0,40108996,18706393,58815389
2021-10-09,KA,Belagavi,79812,935,78771,396565.0,2998728,1108455,4107183,2980621,37875,2932322,48674279.0,40108996,18706393,58815389
2021-10-09,KA,Bengaluru Rural,61913,887,60927,240277.0,652169,313099,965268,2980621,37875,2932322,48674279.0,40108996,18706393,58815389
2021-10-09,KA,Bengaluru Urban,1248157,16183,1225246,6883888.0,8991371,5147894,14139265,2980621,37875,2932322,48674279.0,40108996,18706393,58815389
2021-10-09,KA,Bidar,24327,398,23921,67689.0,874569,412761,1287330,2980621,37875,2932322,48674279.0,40108996,18706393,58815389
2021-10-09,KA,Chamarajanagara,32960,499,32417,5156.0,634782,251428,886210,2980621,37875,2932322,48674279.0,40108996,18706393,58815389
2021-10-09,KA,Chikkaballapura,43924,425,43480,15089.0,817196,426914,1244110,2980621,37875,2932322,48674279.0,40108996,18706393,58815389
2021-10-09,KA,Chikkamagaluru,51009,395,50303,5467.0,714666,309578,1024244,2980621,37875,2932322,48674279.0,40108996,18706393,58815389
2021-10-09,KA,Chitradurga,36619,205,36330,4393.0,915042,507483,1422525,2980621,37875,2932322,48674279.0,40108996,18706393,58815389
2021-10-09,KA,Dakshina Kannada,114816,1662,112618,131281.0,1507181,712981,2220162,2980621,37875,2932322,48674279.0,40108996,18706393,58815389
2021-10-09,KA,Davanagere,50959,604,50318,17483.0,939774,383527,1323301,2980621,37875,2932322,48674279.0,40108996,18706393,58815389
2021-10-09,KA,Dharwad,60931,1306,59579,137696.0,1148702,456157,1604859,2980621,37875,2932322,48674279.0,40108996,18706393,58815389
2021-10-09,KA,Gadag,26065,318,25744,8904.0,636781,277548,914329,2980621,37875,2932322,48674279.0,40108996,18706393,58815389
2021-10-09,KA,Hassan,111305,1250,109639,10800.0,1190456,480141,1670597,2980621,37875,2932322,48674279.0,40108996,18706393,58815389
2021-10-09,KA,Haveri,21942,642,21293,11714.0,962710,282150,1244860,2980621,37875,2932322,48674279.0,40108996,18706393,58815389
2021-10-09,KA,Kalaburagi,61906,819,61073,409596.0,1203342,502095,1705437,2980621,37875,2932322,48674279.0,40108996,18706393,58815389
2021-10-09,KA,Kodagu,36844,326,36302,143982.0,379463,181935,561398,2980621,37875,2932322,48674279.0,40108996,18706393,58815389
2021-10-09,KA,Kolar,46825,633,46149,91924.0,927642,511870,1439512,2980621,37875,2932322,48674279.0,40108996,18706393,58815389
2021-10-09,KA,Koppal,35192,521,34644,8708.0,761172,321815,1082987,2980621,37875,2932322,48674279.0,40108996,18706393,58815389
2021-10-09,KA,Mandya,73599,649,72832,14874.0,1152788,558024,1710812,2980621,37875,2932322,48674279.0,40108996,18706393,58815389
2021-10-09,KA,Mysuru,178430,2398,175547,107338.0,1984906,944147,2929053,2980621,37875,2932322,48674279.0,40108996,18706393,58815389
2021-10-09,KA,Other State,36,3,33,,,,,2980621,37875,2932322,48674279.0,40108996,18706393,58815389
2021-10-09,KA,Raichur,39962,330,39627,21011.0,929719,353712,1283431,2980621,37875,2932322,48674279.0,40108996,18706393,58815389
2021-10-09,KA,Ramanagara,24172,316,23830,103399.0,727858,388902,1116760,2980621,37875,2932322,48674279.0,40108996,18706393,58815389
2021-10-09,KA,Shivamogga,69290,1086,68020,48760.0,1082624,449243,1531867,2980621,37875,2932322,48674279.0,40108996,18706393,58815389
2021-10-09,KA,Tumakuru,120430,1118,118994,106564.0,1568785,678116,2246901,2980621,37875,2932322,48674279.0,40108996,18706393,58815389
2021-10-09,KA,Udupi,76491,482,75815,86092.0,911239,449130,1360369,2980621,37875,2932322,48674279.0,40108996,18706393,58815389
2021-10-09,KA,Uttara Kannada,56012,761,55048,13833.0,959473,426599,1386072,2980621,37875,2932322,48674279.0,40108996,18706393,58815389
2021-10-09,KA,Vijayapura,36252,495,35747,25108.0,1278676,468441,1747117,2980621,37875,2932322,48674279.0,40108996,18706393,58815389
2021-10-09,KA,Yadgir,27541,207,27330,221485.0,582564,297164,879728,2980621,37875,2932322,48674279.0,40108996,18706393,58815389
