Date,State/UTCode,District,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinatedNumberForDistrict,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForState
2021-10-10,TN,Airport Quarantine,2109,2,2105,,,,,2678265,35783,2626352,48463913.0,38473926,13454890,51928816
2021-10-10,TN,Ariyalur,16746,256,16417,18285.0,418402,108134,526536,2678265,35783,2626352,48463913.0,38473926,13454890,51928816
2021-10-10,TN,Chengalpattu,169821,2484,166185,51771.0,1237732,494095,1731827,2678265,35783,2626352,48463913.0,38473926,13454890,51928816
2021-10-10,TN,Chennai,551611,8508,541257,2667777.0,4659250,2490338,7149588,2678265,35783,2626352,48463913.0,38473926,13454890,51928816
2021-10-10,TN,Coimbatore,244003,2360,240009,102107.0,2596392,985546,3581938,2678265,35783,2626352,48463913.0,38473926,13454890,51928816
2021-10-10,TN,Cuddalore,63672,863,62488,36434.0,1271534,394890,1666424,2678265,35783,2626352,48463913.0,38473926,13454890,51928816
2021-10-10,TN,Dharmapuri,27990,269,27344,163803.0,720024,202288,922312,2678265,35783,2626352,48463913.0,38473926,13454890,51928816
2021-10-10,TN,Dindigul,32916,639,32135,27800.0,1168780,350198,1518978,2678265,35783,2626352,48463913.0,38473926,13454890,51928816
2021-10-10,TN,Erode,102737,676,101097,66240.0,1311861,416598,1728459,2678265,35783,2626352,48463913.0,38473926,13454890,51928816
2021-10-10,TN,Kallakurichi,31105,209,30707,28314.0,629588,168515,798103,2678265,35783,2626352,48463913.0,38473926,13454890,51928816
2021-10-10,TN,Kancheepuram,74278,1252,72642,37505.0,613610,193961,807571,2678265,35783,2626352,48463913.0,38473926,13454890,51928816
2021-10-10,TN,Kanyakumari,62006,1043,60680,79600.0,1050535,328928,1379463,2678265,35783,2626352,48463913.0,38473926,13454890,51928816
2021-10-10,TN,Karur,23752,355,23189,17190.0,600135,193604,793739,2678265,35783,2626352,48463913.0,38473926,13454890,51928816
2021-10-10,TN,Krishnagiri,43177,347,42472,14284.0,984858,312713,1297571,2678265,35783,2626352,48463913.0,38473926,13454890,51928816
2021-10-10,TN,Madurai,74847,1167,73399,97279.0,1414682,469316,1883998,2678265,35783,2626352,48463913.0,38473926,13454890,51928816
