Date,State/UTCode,District,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinatedNumberForDistrict,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForState
2021-10-14,MZ,Aizawl,69218,275,60401,,314819,232153,546972,109818,373,96744,1192652.0,704239,486996,1191235
2021-10-14,MZ,Champhai,4383,5,3753,,73578,52063,125641,109818,373,96744,1192652.0,704239,486996,1191235
2021-10-14,MZ,Hnahthial,677,3,581,,,,,109818,373,96744,1192652.0,704239,486996,1191235
2021-10-14,MZ,Khawzawl,657,0,626,,,,,109818,373,96744,1192652.0,704239,486996,1191235
2021-10-14,MZ,Kolasib,7440,25,7088,,50174,31539,81713,109818,373,96744,1192652.0,704239,486996,1191235
2021-10-14,MZ,Lawngtlai,6352,21,5757,,51399,21385,72784,109818,373,96744,1192652.0,704239,486996,1191235
2021-10-14,MZ,Lunglei,8461,22,7382,,94670,69926,164596,109818,373,96744,1192652.0,704239,486996,1191235
2021-10-14,MZ,Mamit,4210,5,3836,,43346,26620,69966,109818,373,96744,1192652.0,704239,486996,1191235
2021-10-14,MZ,Saiha,4936,8,4443,,34428,18206,52634,109818,373,96744,1192652.0,704239,486996,1191235
2021-10-14,MZ,Saitual,363,2,329,,,,,109818,373,96744,1192652.0,704239,486996,1191235
2021-10-14,MZ,Serchhip,3121,7,2548,,41825,35104,76929,109818,373,96744,1192652.0,704239,486996,1191235
