Date,State/UTCode,District,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinatedNumberForDistrict,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForState
2021-10-17,UP,Agra,25764,457,25303,491361.0,2091667,641191,2732858,1710028,22898,1687011,81382986.0,92384187,25848161,118232348
2021-10-17,UP,Aligarh,21280,108,21170,482825.0,1517241,397451,1914692,1710028,22898,1687011,81382986.0,92384187,25848161,118232348
2021-10-17,UP,Ambedkar Nagar,5039,152,4885,123151.0,1068071,268244,1336315,1710028,22898,1687011,81382986.0,92384187,25848161,118232348
2021-10-17,UP,Amethi,9970,143,9819,267014.0,963125,295347,1258472,1710028,22898,1687011,81382986.0,92384187,25848161,118232348
2021-10-17,UP,Amroha,16614,203,16411,254038.0,830224,214411,1044635,1710028,22898,1687011,81382986.0,92384187,25848161,118232348
2021-10-17,UP,Auraiya,10090,203,9885,107079.0,593486,141726,735212,1710028,22898,1687011,81382986.0,92384187,25848161,118232348
2021-10-17,UP,Ayodhya,16918,290,16628,376735.0,1179753,334890,1514643,1710028,22898,1687011,81382986.0,92384187,25848161,118232348
2021-10-17,UP,Azamgarh,17903,228,17674,12474.0,2052409,501087,2553496,1710028,22898,1687011,81382986.0,92384187,25848161,118232348
2021-10-17,UP,Baghpat,9131,141,8990,327192.0,659257,271631,930888,1710028,22898,1687011,81382986.0,92384187,25848161,118232348
2021-10-17,UP,Bahraich,11549,178,11371,308225.0,1624042,449213,2073255,1710028,22898,1687011,81382986.0,92384187,25848161,118232348
2021-10-17,UP,Ballia,21609,234,21375,267420.0,1361293,298081,1659374,1710028,22898,1687011,81382986.0,92384187,25848161,118232348
