Date,State/UTCode,District,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinatedNumberForDistrict,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForState
2021-10-25,KL,Alappuzha,314342,1673,311349,,1514030,816465,2330495,4921995,28873,4817785,37440976.0,25215748,13007867,38223615
2021-10-25,KL,Ernakulam,596321,2838,576756,,2943231,1687346,4630577,4921995,28873,4817785,37440976.0,25215748,13007867,38223615
2021-10-25,KL,Idukki,144691,452,138871,237691.0,857476,462367,1319843,4921995,28873,4817785,37440976.0,25215748,13007867,38223615
2021-10-25,KL,Kannur,273055,2050,266746,392136.0,1885105,908098,2793203,4921995,28873,4817785,37440976.0,25215748,13007867,38223615
2021-10-25,KL,Kasaragod,137910,588,133877,,906039,501613,1407652,4921995,28873,4817785,37440976.0,25215748,13007867,38223615
2021-10-25,KL,Kollam,386742,2295,378719,,1945213,997681,2942894,4921995,28873,4817785,37440976.0,25215748,13007867,38223615
2021-10-25,KL,Kottayam,318637,1261,314866,,1473267,798113,2271380,4921995,28873,4817785,37440976.0,25215748,13007867,38223615
2021-10-25,KL,Kozhikode,522519,2867,514955,955060.0,2331457,1104442,3435899,4921995,28873,4817785,37440976.0,25215748,13007867,38223615
2021-10-25,KL,Malappuram,565346,2482,559527,469850.0,2816375,1060662,3877037,4921995,28873,4817785,37440976.0,25215748,13007867,38223615
2021-10-25,KL,Palakkad,371585,2721,362133,226562.0,1981964,903449,2885413,4921995,28873,4817785,37440976.0,25215748,13007867,38223615
2021-10-25,KL,Pathanamthitta,190845,1019,182819,306034.0,1045827,648449,1694276,4921995,28873,4817785,37440976.0,25215748,13007867,38223615
2021-10-25,KL,Thiruvananthapuram,457830,4908,444534,436661.0,2569822,1477644,4047466,4921995,28873,4817785,37440976.0,25215748,13007867,38223615
2021-10-25,KL,Thrissur,518069,3206,512787,639055.0,2288385,1233673,3522058,4921995,28873,4817785,37440976.0,25215748,13007867,38223615
2021-10-25,KL,Wayanad,124103,513,119846,211953.0,657557,407865,1065422,4921995,28873,4817785,37440976.0,25215748,13007867,38223615
