Date,State/UTCode,District,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinatedNumberForDistrict,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForState
2021-10-26,BR,Araria,14977,116,14859,219221.0,1135881,334084,1469965,726068,9661,716367,49447986.0,48738114,16438482,65176596
2021-10-26,BR,Arwal,7381,74,7307,101624.0,342211,103584,445795,726068,9661,716367,49447986.0,48738114,16438482,65176596
2021-10-26,BR,Aurangabad,20011,75,19936,412007.0,1109678,354913,1464591,726068,9661,716367,49447986.0,48738114,16438482,65176596
2021-10-26,BR,Banka,7379,112,7267,364776.0,913088,320471,1233559,726068,9661,716367,49447986.0,48738114,16438482,65176596
2021-10-26,BR,Begusarai,27210,457,26752,213670.0,1400025,423040,1823065,726068,9661,716367,49447986.0,48738114,16438482,65176596
2021-10-26,BR,Bhagalpur,25839,309,25530,582113.0,1446094,576120,2022214,726068,9661,716367,49447986.0,48738114,16438482,65176596
2021-10-26,BR,Bhojpur,10210,159,10051,466438.0,1260309,332372,1592681,726068,9661,716367,49447986.0,48738114,16438482,65176596
2021-10-26,BR,Buxar,9248,182,9066,461428.0,895806,291635,1187441,726068,9661,716367,49447986.0,48738114,16438482,65176596
2021-10-26,BR,Darbhanga,10937,370,10567,448442.0,1830507,659869,2490376,726068,9661,716367,49447986.0,48738114,16438482,65176596
2021-10-26,BR,East Champaran,19015,430,18585,548132.0,2477182,936948,3414130,726068,9661,716367,49447986.0,48738114,16438482,65176596
2021-10-26,BR,Gaya,33952,280,33671,872359.0,1857332,650465,2507797,726068,9661,716367,49447986.0,48738114,16438482,65176596
2021-10-26,BR,Gopalganj,16685,94,16590,562654.0,1259726,420141,1679867,726068,9661,716367,49447986.0,48738114,16438482,65176596
2021-10-26,BR,Jamui,9418,106,9311,342005.0,780099,201188,981287,726068,9661,716367,49447986.0,48738114,16438482,65176596
2021-10-26,BR,Jehanabad,10783,109,10674,492255.0,489951,161572,651523,726068,9661,716367,49447986.0,48738114,16438482,65176596
2021-10-26,BR,Kaimur,4984,147,4837,442332.0,782627,198463,981090,726068,9661,716367,49447986.0,48738114,16438482,65176596
2021-10-26,BR,Katihar,18145,94,18050,556438.0,1406485,336262,1742747,726068,9661,716367,49447986.0,48738114,16438482,65176596
2021-10-26,BR,Khagaria,10064,88,9976,148340.0,762020,193825,955845,726068,9661,716367,49447986.0,48738114,16438482,65176596
2021-10-26,BR,Kishanganj,10125,66,10055,294321.0,737743,185078,922821,726068,9661,716367,49447986.0,48738114,16438482,65176596
2021-10-26,BR,Lakhisarai,7776,102,7674,332434.0,454649,125196,579845,726068,9661,716367,49447986.0,48738114,16438482,65176596
2021-10-26,BR,Madhepura,12547,111,12435,455482.0,941679,222603,1164282,726068,9661,716367,49447986.0,48738114,16438482,65176596
2021-10-26,BR,Madhubani,18362,339,18023,715168.0,1948411,616069,2564480,726068,9661,716367,49447986.0,48738114,16438482,65176596
2021-10-26,BR,Munger,15111,158,14952,325212.0,701016,235784,936800,726068,9661,716367,49447986.0,48738114,16438482,65176596
2021-10-26,BR,Muzaffarpur,31398,621,30776,722651.0,2222160,650366,2872526,726068,9661,716367,49447986.0,48738114,16438482,65176596
2021-10-26,BR,Nalanda,23432,468,22964,591346.0,1357992,574631,1932623,726068,9661,716367,49447986.0,48738114,16438482,65176596
2021-10-26,BR,Nawada,10352,178,10174,322514.0,1018660,240481,1259141,726068,9661,716367,49447986.0,48738114,16438482,65176596
2021-10-26,BR,Patna,146998,2334,144644,676238.0,3393198,2237616,5630814,726068,9661,716367,49447986.0,48738114,16438482,65176596
2021-10-26,BR,Purnia,24427,180,24247,568756.0,1550470,659404,2209874,726068,9661,716367,49447986.0,48738114,16438482,65176596
2021-10-26,BR,Rohtas,13979,271,13707,521553.0,1459867,410786,1870653,726068,9661,716367,49447986.0,48738114,16438482,65176596
2021-10-26,BR,Saharsa,17616,134,17482,356327.0,899152,286723,1185875,726068,9661,716367,49447986.0,48738114,16438482,65176596
2021-10-26,BR,Samastipur,20018,155,19863,614569.0,1949522,498902,2448424,726068,9661,716367,49447986.0,48738114,16438482,65176596
2021-10-26,BR,Saran,23274,255,23018,761473.0,1830586,664563,2495149,726068,9661,716367,49447986.0,48738114,16438482,65176596
2021-10-26,BR,Sheikhpura,7693,75,7618,142348.0,283006,85978,368984,726068,9661,716367,49447986.0,48738114,16438482,65176596
2021-10-26,BR,Sheohar,4404,36,4366,199431.0,298261,102192,400453,726068,9661,716367,49447986.0,48738114,16438482,65176596
2021-10-26,BR,Sitamarhi,9185,127,9058,453227.0,1473208,371768,1844976,726068,9661,716367,49447986.0,48738114,16438482,65176596
2021-10-26,BR,Siwan,15195,170,15025,536438.0,1654742,623670,2278412,726068,9661,716367,49447986.0,48738114,16438482,65176596
2021-10-26,BR,Supaul,17222,129,17093,456511.0,1039364,303105,1342469,726068,9661,716367,49447986.0,48738114,16438482,65176596
2021-10-26,BR,Vaishali,19826,192,19632,275884.0,1627915,422694,2050609,726068,9661,716367,49447986.0,48738114,16438482,65176596
2021-10-26,BR,West Champaran,20890,358,20532,551778.0,1747492,425921,2173413,726068,9661,716367,49447986.0,48738114,16438482,65176596
