Date,State/UTCode,District,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinatedNumberForDistrict,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForState
2021-10-28,CT,Balod,27276,396,26880,2749.0,535094,267952,803046,1005957,13575,992097,13654009.0,14721521,7140220,21861741
2021-10-28,CT,Baloda Bazar,43085,471,42609,3816.0,611060,207888,818948,1005957,13575,992097,13654009.0,14721521,7140220,21861741
2021-10-28,CT,Balrampur,20302,118,20182,21481.0,295503,106673,402176,1005957,13575,992097,13654009.0,14721521,7140220,21861741
2021-10-28,CT,Bametara,19962,236,19726,3113.0,403311,131687,534998,1005957,13575,992097,13654009.0,14721521,7140220,21861741
2021-10-28,CT,Bastar,21061,188,20843,4522.0,441126,176440,617566,1005957,13575,992097,13654009.0,14721521,7140220,21861741
2021-10-28,CT,Bijapur,8319,55,8262,1239.0,102915,43973,146888,1005957,13575,992097,13654009.0,14721521,7140220,21861741
2021-10-28,CT,Bilaspur,65673,1209,64442,9823.0,1023497,500172,1523669,1005957,13575,992097,13654009.0,14721521,7140220,21861741
2021-10-28,CT,Dakshin Bastar Dantewada,10838,25,10808,1168.0,157204,78230,235434,1005957,13575,992097,13654009.0,14721521,7140220,21861741
2021-10-28,CT,Dhamtari,27238,545,26688,1501.0,508317,222881,731198,1005957,13575,992097,13654009.0,14721521,7140220,21861741
2021-10-28,CT,Durg,96871,1798,95017,5020.0,1008549,518751,1527300,1005957,13575,992097,13654009.0,14721521,7140220,21861741
2021-10-28,CT,Gariaband,19701,194,19506,2096.0,290690,97157,387847,1005957,13575,992097,13654009.0,14721521,7140220,21861741
2021-10-28,CT,Gaurela Pendra Marwahi,12010,146,11864,273.0,188375,78478,266853,1005957,13575,992097,13654009.0,14721521,7140220,21861741
2021-10-28,CT,Janjgir Champa,57624,838,56762,4016.0,889124,311968,1201092,1005957,13575,992097,13654009.0,14721521,7140220,21861741
2021-10-28,CT,Jashpur,27091,212,26863,2542.0,432453,178630,611083,1005957,13575,992097,13654009.0,14721521,7140220,21861741
2021-10-28,CT,Kabeerdham,22770,267,22503,2829.0,394935,166600,561535,1005957,13575,992097,13654009.0,14721521,7140220,21861741
2021-10-28,CT,Kondagaon,13139,99,13036,1607.0,314263,97306,411569,1005957,13575,992097,13654009.0,14721521,7140220,21861741
2021-10-28,CT,Korba,54840,580,54224,10034.0,641399,279548,920947,1005957,13575,992097,13654009.0,14721521,7140220,21861741
2021-10-28,CT,Koriya,26976,176,26798,2689.0,366061,125901,491962,1005957,13575,992097,13654009.0,14721521,7140220,21861741
2021-10-28,CT,Mahasamund,31365,365,31000,2183.0,736993,398251,1135244,1005957,13575,992097,13654009.0,14721521,7140220,21861741
2021-10-28,CT,Mungeli,23920,167,23751,2922.0,276590,105389,381979,1005957,13575,992097,13654009.0,14721521,7140220,21861741
2021-10-28,CT,Narayanpur,4019,14,4005,804.0,51453,18277,69730,1005957,13575,992097,13654009.0,14721521,7140220,21861741
2021-10-28,CT,Other State,801,131,664,,,,,1005957,13575,992097,13654009.0,14721521,7140220,21861741
2021-10-28,CT,Raigarh,62586,978,61593,5084.0,1072162,931799,2003961,1005957,13575,992097,13654009.0,14721521,7140220,21861741
2021-10-28,CT,Raipur,158015,3139,154842,12704.0,1554607,901909,2456516,1005957,13575,992097,13654009.0,14721521,7140220,21861741
2021-10-28,CT,Rajnandgaon,56073,515,55555,124947.0,1024493,524732,1549225,1005957,13575,992097,13654009.0,14721521,7140220,21861741
2021-10-28,CT,Sukma,8066,20,8037,1723.0,133561,79706,213267,1005957,13575,992097,13654009.0,14721521,7140220,21861741
2021-10-28,CT,Surajpur,29029,224,28805,1830.0,413472,158475,571947,1005957,13575,992097,13654009.0,14721521,7140220,21861741
2021-10-28,CT,Surguja,33672,245,33426,103578.0,455658,265170,720828,1005957,13575,992097,13654009.0,14721521,7140220,21861741
2021-10-28,CT,Uttar Bastar Kanker,23635,224,23406,2051.0,398656,166277,564933,1005957,13575,992097,13654009.0,14721521,7140220,21861741
