Date,State/UTCode,District,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinatedNumberForDistrict,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForState
2021-10-13,KL,Alappuzha,309653,1590,305211,,1504581,746118,2250699,4820698,26571,4695904,36481424.0,25029319,11940073,36969392
2021-10-13,KL,Ernakulam,580461,2586,560770,,2916838,1548025,4464863,4820698,26571,4695904,36481424.0,25029319,11940073,36969392
2021-10-13,KL,Idukki,139144,399,131524,237691.0,853520,416466,1269986,4820698,26571,4695904,36481424.0,25029319,11940073,36969392
2021-10-13,KL,Kannur,267614,1879,259924,392136.0,1871989,822055,2694044,4820698,26571,4695904,36481424.0,25029319,11940073,36969392
2021-10-13,KL,Kasaragod,136013,537,131953,,899205,468829,1368034,4820698,26571,4695904,36481424.0,25029319,11940073,36969392
2021-10-13,KL,Kollam,379201,2163,368983,,1932824,924748,2857572,4820698,26571,4695904,36481424.0,25029319,11940073,36969392
2021-10-13,KL,Kottayam,310974,1197,306497,,1465457,717636,2183093,4820698,26571,4695904,36481424.0,25029319,11940073,36969392
2021-10-13,KL,Kozhikode,513352,2786,503963,955060.0,2312810,1038928,3351738,4820698,26571,4695904,36481424.0,25029319,11940073,36969392
2021-10-13,KL,Malappuram,559821,2380,551683,469850.0,2782716,987582,3770298,4820698,26571,4695904,36481424.0,25029319,11940073,36969392
2021-10-13,KL,Palakkad,366841,2582,354760,226562.0,1965469,805421,2770890,4820698,26571,4695904,36481424.0,25029319,11940073,36969392
2021-10-13,KL,Pathanamthitta,185843,877,176815,306034.0,1041649,607153,1648802,4820698,26571,4695904,36481424.0,25029319,11940073,36969392
2021-10-13,KL,Thiruvananthapuram,444053,4089,429205,436661.0,2554327,1384726,3939053,4820698,26571,4695904,36481424.0,25029319,11940073,36969392
2021-10-13,KL,Thrissur,506748,3056,498301,639055.0,2273287,1100015,3373302,4820698,26571,4695904,36481424.0,25029319,11940073,36969392
2021-10-13,KL,Wayanad,120980,450,116315,211953.0,654647,372371,1027018,4820698,26571,4695904,36481424.0,25029319,11940073,36969392
