Date,State/UTCode,District,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinatedNumberForDistrict,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForState
2021-10-13,NL,Dimapur,14521,416,13301,47020.0,262312,146264,408576,31507,673,29580,384073.0,698807,430079,1128886
2021-10-13,NL,Kiphire,256,9,244,1002.0,12822,7073,19895,31507,673,29580,384073.0,698807,430079,1128886
2021-10-13,NL,Kohima,9401,122,9027,33986.0,104599,75263,179862,31507,673,29580,384073.0,698807,430079,1128886
2021-10-13,NL,Longleng,299,2,279,1193.0,20530,15017,35547,31507,673,29580,384073.0,698807,430079,1128886
2021-10-13,NL,Mokokchung,2294,52,2161,3976.0,68704,49037,117741,31507,673,29580,384073.0,698807,430079,1128886
2021-10-13,NL,Mon,1158,13,1123,12278.0,69526,43504,113030,31507,673,29580,384073.0,698807,430079,1128886
2021-10-13,NL,Peren,913,5,896,5717.0,19538,11353,30891,31507,673,29580,384073.0,698807,430079,1128886
2021-10-13,NL,Phek,590,18,558,2779.0,30947,18922,49869,31507,673,29580,384073.0,698807,430079,1128886
2021-10-13,NL,Tuensang,1065,11,1044,4887.0,37446,21799,59245,31507,673,29580,384073.0,698807,430079,1128886
2021-10-13,NL,Wokha,389,11,354,1390.0,34820,21523,56343,31507,673,29580,384073.0,698807,430079,1128886
2021-10-13,NL,Zunheboto,621,14,593,2131.0,37563,20324,57887,31507,673,29580,384073.0,698807,430079,1128886
