Date,State/UTCode,District,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinatedNumberForDistrict,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForState
2021-10-17,PB,Amritsar,47338,1595,45739,89227.0,1207626,407182,1614808,602035,16544,585264,15008920.0,15459433,5753784,21213217
2021-10-17,PB,Barnala,5945,244,5688,63447.0,304247,92126,396373,602035,16544,585264,15008920.0,15459433,5753784,21213217
2021-10-17,PB,Bathinda,41705,1041,40654,118489.0,602509,186689,789198,602035,16544,585264,15008920.0,15459433,5753784,21213217
2021-10-17,PB,Faridkot,13912,315,13591,23635.0,322804,118718,441522,602035,16544,585264,15008920.0,15459433,5753784,21213217
2021-10-17,PB,Fatehgarh Sahib,8872,334,8536,68436.0,349138,123807,472945,602035,16544,585264,15008920.0,15459433,5753784,21213217
2021-10-17,PB,Fazilka,20262,528,19718,63589.0,470818,119973,590791,602035,16544,585264,15008920.0,15459433,5753784,21213217
2021-10-17,PB,Ferozepur,14329,504,13819,74880.0,464767,117849,582616,602035,16544,585264,15008920.0,15459433,5753784,21213217
2021-10-17,PB,Gurdaspur,22373,800,21566,249039.0,828173,365310,1193483,602035,16544,585264,15008920.0,15459433,5753784,21213217
2021-10-17,PB,Hoshiarpur,30801,982,29807,221261.0,984604,530956,1515560,602035,16544,585264,15008920.0,15459433,5753784,21213217
2021-10-17,PB,Jalandhar,63356,1495,61838,443735.0,1399128,633571,2032699,602035,16544,585264,15008920.0,15459433,5753784,21213217
2021-10-17,PB,Kapurthala,17846,556,17282,38658.0,450363,173376,623739,602035,16544,585264,15008920.0,15459433,5753784,21213217
2021-10-17,PB,Ludhiana,87573,2104,85448,514691.0,2365618,872116,3237734,602035,16544,585264,15008920.0,15459433,5753784,21213217
2021-10-17,PB,Mansa,15602,379,15222,26878.0,359159,80295,439454,602035,16544,585264,15008920.0,15459433,5753784,21213217
2021-10-17,PB,Moga,8667,233,8428,77307.0,529425,164535,693960,602035,16544,585264,15008920.0,15459433,5753784,21213217
2021-10-17,PB,Pathankot,18787,419,18340,29112.0,421541,185248,606789,602035,16544,585264,15008920.0,15459433,5753784,21213217
2021-10-17,PB,Patiala,48908,1358,47537,273344.0,1031644,374189,1405833,602035,16544,585264,15008920.0,15459433,5753784,21213217
2021-10-17,PB,Rupnagar,12934,423,12507,97745.0,379974,170959,550933,602035,16544,585264,15008920.0,15459433,5753784,21213217
2021-10-17,PB,S.A.S. Nagar,68783,1068,67681,41532.0,861179,381992,1243171,602035,16544,585264,15008920.0,15459433,5753784,21213217
2021-10-17,PB,Sangrur,15756,875,14877,166332.0,700646,199792,900438,602035,16544,585264,15008920.0,15459433,5753784,21213217
2021-10-17,PB,Shahid Bhagat Singh Nagar,11468,388,11076,77715.0,386512,163195,549707,602035,16544,585264,15008920.0,15459433,5753784,21213217
2021-10-17,PB,Sri Muktsar Sahib,18780,523,18257,67979.0,464126,130822,594948,602035,16544,585264,15008920.0,15459433,5753784,21213217
2021-10-17,PB,Tarn Taran,8038,380,7653,111446.0,575432,161084,736516,602035,16544,585264,15008920.0,15459433,5753784,21213217
