Date,State/UTCode,District,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinatedNumberForDistrict,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForState
2021-10-19,OR,Angul,43888,390,43475,172873.0,739283,254244,993527,1035973,8347,1023398,21175476.0,24501143,10165073,34666216
2021-10-19,OR,Balangir,23385,126,23237,87867.0,924658,235708,1160366,1035973,8347,1023398,21175476.0,24501143,10165073,34666216
2021-10-19,OR,Balasore,40659,298,40228,9843.0,1237849,490267,1728116,1035973,8347,1023398,21175476.0,24501143,10165073,34666216
2021-10-19,OR,Bargarh,31097,335,30733,,762555,246050,1008605,1035973,8347,1023398,21175476.0,24501143,10165073,34666216
2021-10-19,OR,Bhadrak,26402,149,26206,258173.0,1000628,309135,1309763,1035973,8347,1023398,21175476.0,24501143,10165073,34666216
2021-10-19,OR,Boudh,12605,112,12484,496.0,248101,69866,317967,1035973,8347,1023398,21175476.0,24501143,10165073,34666216
2021-10-19,OR,Cuttack,94099,855,92847,5720.0,1302064,633817,1935881,1035973,8347,1023398,21175476.0,24501143,10165073,34666216
2021-10-19,OR,Deogarh,6503,50,6445,682.0,221606,56656,278262,1035973,8347,1023398,21175476.0,24501143,10165073,34666216
2021-10-19,OR,Dhenkanal,19823,243,19570,179477.0,705687,246540,952227,1035973,8347,1023398,21175476.0,24501143,10165073,34666216
2021-10-19,OR,Gajapati,9632,84,9537,715.0,281826,98817,380643,1035973,8347,1023398,21175476.0,24501143,10165073,34666216
2021-10-19,OR,Ganjam,33818,485,33307,750442.0,2171970,1518693,3690663,1035973,8347,1023398,21175476.0,24501143,10165073,34666216
2021-10-19,OR,Jagatsinghpur,27773,313,27382,46648.0,615931,231088,847019,1035973,8347,1023398,21175476.0,24501143,10165073,34666216
2021-10-19,OR,Jajpur,43604,172,43334,53956.0,1034041,330729,1364770,1035973,8347,1023398,21175476.0,24501143,10165073,34666216
2021-10-19,OR,Jharsuguda,23844,176,23658,1663.0,389178,167980,557158,1035973,8347,1023398,21175476.0,24501143,10165073,34666216
2021-10-19,OR,Kalahandi,24298,209,24073,1458.0,848735,262659,1111394,1035973,8347,1023398,21175476.0,24501143,10165073,34666216
2021-10-19,OR,Kandhamal,11533,83,11448,1516.0,364315,131874,496189,1035973,8347,1023398,21175476.0,24501143,10165073,34666216
2021-10-19,OR,Kendrapara,24768,251,24429,382732.0,863492,295121,1158613,1035973,8347,1023398,21175476.0,24501143,10165073,34666216
2021-10-19,OR,Kendujhar,20973,171,20785,474504.0,1046945,314069,1361014,1035973,8347,1023398,21175476.0,24501143,10165073,34666216
2021-10-19,OR,Khordha,172682,1539,168988,,1999586,1422693,3422279,1035973,8347,1023398,21175476.0,24501143,10165073,34666216
2021-10-19,OR,Koraput,19111,78,19004,1401.0,836901,338900,1175801,1035973,8347,1023398,21175476.0,24501143,10165073,34666216
2021-10-19,OR,Malkangiri,11662,49,11609,1841.0,361688,114803,476491,1035973,8347,1023398,21175476.0,24501143,10165073,34666216
2021-10-19,OR,Mayurbhanj,40652,281,40231,3307.0,1095589,358250,1453839,1035973,8347,1023398,21175476.0,24501143,10165073,34666216
2021-10-19,OR,Nabarangapur,23545,86,23455,162154.0,650659,157358,808017,1035973,8347,1023398,21175476.0,24501143,10165073,34666216
2021-10-19,OR,Nayagarh,23450,210,23210,1104.0,577960,187721,765681,1035973,8347,1023398,21175476.0,24501143,10165073,34666216
2021-10-19,OR,Nuapada,22883,84,22795,310.0,395881,105111,500992,1035973,8347,1023398,21175476.0,24501143,10165073,34666216
2021-10-19,OR,Puri,45318,457,44770,173340.0,1035275,458079,1493354,1035973,8347,1023398,21175476.0,24501143,10165073,34666216
2021-10-19,OR,Rayagada,20150,167,19959,578.0,540560,160437,700997,1035973,8347,1023398,21175476.0,24501143,10165073,34666216
2021-10-19,OR,Sambalpur,31479,240,31156,2007.0,752147,366690,1118837,1035973,8347,1023398,21175476.0,24501143,10165073,34666216
2021-10-19,OR,State Pool,31431,0,30883,,,,,1035973,8347,1023398,21175476.0,24501143,10165073,34666216
2021-10-19,OR,Subarnapur,13180,61,13109,,407143,147159,554302,1035973,8347,1023398,21175476.0,24501143,10165073,34666216
2021-10-19,OR,Sundargarh,61726,593,61051,,1088890,454559,1543449,1035973,8347,1023398,21175476.0,24501143,10165073,34666216
