Date,State/UTCode,District,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinatedNumberForDistrict,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForState
2021-10-20,MP,Agar Malwa,3303,68,3235,,420574,106409,526983,792709,10523,782104,19670377.0,49195807,17725205,66921012
2021-10-20,MP,Alirajpur,3505,48,3453,,367014,103338,470352,792709,10523,782104,19670377.0,49195807,17725205,66921012
2021-10-20,MP,Anuppur,9238,89,9140,3424.0,474947,133489,608436,792709,10523,782104,19670377.0,49195807,17725205,66921012
2021-10-20,MP,Ashoknagar,3670,57,3613,55792.0,548464,161001,709465,792709,10523,782104,19670377.0,49195807,17725205,66921012
2021-10-20,MP,Balaghat,9098,64,9017,9654.0,1243812,428724,1672536,792709,10523,782104,19670377.0,49195807,17725205,66921012
2021-10-20,MP,Barwani,8366,90,8267,41588.0,785983,198914,984897,792709,10523,782104,19670377.0,49195807,17725205,66921012
2021-10-20,MP,Betul,12904,277,12590,68036.0,1036257,298068,1334325,792709,10523,782104,19670377.0,49195807,17725205,66921012
2021-10-20,MP,Bhind,2995,32,2960,44395.0,1026854,308218,1335072,792709,10523,782104,19670377.0,49195807,17725205,66921012
2021-10-20,MP,Bhopal,123505,972,122121,245166.0,1976627,1108974,3085601,792709,10523,782104,19670377.0,49195807,17725205,66921012
2021-10-20,MP,Burhanpur,2568,39,2529,13040.0,488881,209415,698296,792709,10523,782104,19670377.0,49195807,17725205,66921012
2021-10-20,MP,Chhatarpur,7609,91,7506,50518.0,1083087,293628,1376715,792709,10523,782104,19670377.0,49195807,17725205,66921012
2021-10-20,MP,Chhindwara,6732,120,6612,79090.0,1607159,433274,2040433,792709,10523,782104,19670377.0,49195807,17725205,66921012
2021-10-20,MP,Damoh,8120,186,7841,16564.0,813623,258117,1071740,792709,10523,782104,19670377.0,49195807,17725205,66921012
2021-10-20,MP,Datia,6959,78,6874,40322.0,551613,235663,787276,792709,10523,782104,19670377.0,49195807,17725205,66921012
2021-10-20,MP,Dewas,7723,51,7672,96155.0,995385,407401,1402786,792709,10523,782104,19670377.0,49195807,17725205,66921012
2021-10-20,MP,Dhar,12560,130,12388,62597.0,1358007,431104,1789111,792709,10523,782104,19670377.0,49195807,17725205,66921012
2021-10-20,MP,Dindori,4623,29,4588,3557.0,469587,155577,625164,792709,10523,782104,19670377.0,49195807,17725205,66921012
2021-10-20,MP,Guna,5132,44,5085,40229.0,807881,236584,1044465,792709,10523,782104,19670377.0,49195807,17725205,66921012
2021-10-20,MP,Gwalior,53104,633,52427,206696.0,1420579,660272,2080851,792709,10523,782104,19670377.0,49195807,17725205,66921012
2021-10-20,MP,Harda,5055,96,4954,36708.0,392497,123245,515742,792709,10523,782104,19670377.0,49195807,17725205,66921012
2021-10-20,MP,Hoshangabad,10684,99,10570,46294.0,858397,306991,1165388,792709,10523,782104,19670377.0,49195807,17725205,66921012
2021-10-20,MP,Indore,153187,1391,151410,780266.0,2912329,1654518,4566847,792709,10523,782104,19670377.0,49195807,17725205,66921012
2021-10-20,MP,Jabalpur,50775,670,49896,293923.0,1909795,887812,2797607,792709,10523,782104,19670377.0,49195807,17725205,66921012
2021-10-20,MP,Jhabua,7690,64,7619,52146.0,601745,154502,756247,792709,10523,782104,19670377.0,49195807,17725205,66921012
2021-10-20,MP,Katni,9366,120,9242,56828.0,853011,245830,1098841,792709,10523,782104,19670377.0,49195807,17725205,66921012
2021-10-20,MP,Khandwa,4044,94,3946,17090.0,859037,283349,1142386,792709,10523,782104,19670377.0,49195807,17725205,66921012
2021-10-20,MP,Khargone,13970,239,13716,38413.0,1137411,341091,1478502,792709,10523,782104,19670377.0,49195807,17725205,66921012
2021-10-20,MP,Mandla,5188,25,5159,,675792,164069,839861,792709,10523,782104,19670377.0,49195807,17725205,66921012
2021-10-20,MP,Mandsaur,8637,84,8552,52733.0,940105,280529,1220634,792709,10523,782104,19670377.0,49195807,17725205,66921012
2021-10-20,MP,Morena,8236,95,8135,90967.0,1273603,423786,1697389,792709,10523,782104,19670377.0,49195807,17725205,66921012
2021-10-20,MP,Narsinghpur,11203,81,11115,90600.0,796862,262485,1059347,792709,10523,782104,19670377.0,49195807,17725205,66921012
2021-10-20,MP,Neemuch,7925,84,7828,57292.0,575154,199535,774689,792709,10523,782104,19670377.0,49195807,17725205,66921012
2021-10-20,MP,Niwari,3715,48,3654,22574.0,,,,792709,10523,782104,19670377.0,49195807,17725205,66921012
2021-10-20,MP,Panna,7331,63,7250,,590542,140772,731314,792709,10523,782104,19670377.0,49195807,17725205,66921012
2021-10-20,MP,Raigarh,1,0,0,,,,,792709,10523,782104,19670377.0,49195807,17725205,66921012
2021-10-20,MP,Raisen,9238,194,9030,44343.0,876121,277816,1153937,792709,10523,782104,19670377.0,49195807,17725205,66921012
2021-10-20,MP,Rajgarh,8728,172,8490,46604.0,1018125,380977,1399102,792709,10523,782104,19670377.0,49195807,17725205,66921012
2021-10-20,MP,Ratlam,17859,385,17438,51736.0,1014613,385347,1399960,792709,10523,782104,19670377.0,49195807,17725205,66921012
2021-10-20,MP,Rewa,16433,155,16270,22690.0,1598686,517602,2116288,792709,10523,782104,19670377.0,49195807,17725205,66921012
2021-10-20,MP,Sagar,16617,390,16154,64801.0,1527498,674154,2201652,792709,10523,782104,19670377.0,49195807,17725205,66921012
2021-10-20,MP,Satna,11965,133,11829,28159.0,1491277,398990,1890267,792709,10523,782104,19670377.0,49195807,17725205,66921012
2021-10-20,MP,Sehore,10136,73,10057,45061.0,903862,351082,1254944,792709,10523,782104,19670377.0,49195807,17725205,66921012
2021-10-20,MP,Seoni,6775,28,6739,15024.0,939011,285352,1224363,792709,10523,782104,19670377.0,49195807,17725205,66921012
