Date,State/UTCode,District,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinatedNumberForDistrict,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForState
2021-10-21,UP,Agra,25765,457,25304,491361.0,2133559,684822,2818381,1710068,22899,1687062,81967101.0,94857154,28381982,123239136
2021-10-21,UP,Aligarh,21280,108,21172,482825.0,1547119,431058,1978177,1710068,22899,1687062,81967101.0,94857154,28381982,123239136
2021-10-21,UP,Ambedkar Nagar,5039,152,4885,123151.0,1097163,298226,1395389,1710068,22899,1687062,81967101.0,94857154,28381982,123239136
2021-10-21,UP,Amethi,9971,143,9820,267014.0,987157,324308,1311465,1710068,22899,1687062,81967101.0,94857154,28381982,123239136
2021-10-21,UP,Amroha,16614,203,16411,254038.0,849440,234600,1084040,1710068,22899,1687062,81967101.0,94857154,28381982,123239136
2021-10-21,UP,Auraiya,10090,203,9887,107079.0,604005,157992,761997,1710068,22899,1687062,81967101.0,94857154,28381982,123239136
2021-10-21,UP,Ayodhya,16919,290,16628,376735.0,1229528,367407,1596935,1710068,22899,1687062,81967101.0,94857154,28381982,123239136
2021-10-21,UP,Azamgarh,17903,228,17675,12474.0,2096019,551309,2647328,1710068,22899,1687062,81967101.0,94857154,28381982,123239136
2021-10-21,UP,Baghpat,9131,141,8990,327192.0,679000,303864,982864,1710068,22899,1687062,81967101.0,94857154,28381982,123239136
2021-10-21,UP,Bahraich,11549,178,11371,308225.0,1675248,510106,2185354,1710068,22899,1687062,81967101.0,94857154,28381982,123239136
2021-10-21,UP,Ballia,21609,234,21375,267420.0,1388748,323798,1712546,1710068,22899,1687062,81967101.0,94857154,28381982,123239136
2021-10-21,UP,Balrampur,7492,138,7354,276237.0,969034,366749,1335783,1710068,22899,1687062,81967101.0,94857154,28381982,123239136
2021-10-21,UP,Banda,10992,158,10833,303185.0,739438,187839,927277,1710068,22899,1687062,81967101.0,94857154,28381982,123239136
2021-10-21,UP,Barabanki,19849,225,19624,147422.0,1516660,367651,1884311,1710068,22899,1687062,81967101.0,94857154,28381982,123239136
2021-10-21,UP,Bareilly,44027,377,43644,465209.0,2126282,665097,2791379,1710068,22899,1687062,81967101.0,94857154,28381982,123239136
2021-10-21,UP,Basti,11715,330,11385,296570.0,1150776,341799,1492575,1710068,22899,1687062,81967101.0,94857154,28381982,123239136
2021-10-21,UP,Bhadohi,7720,163,7556,119023.0,769051,214921,983972,1710068,22899,1687062,81967101.0,94857154,28381982,123239136
2021-10-21,UP,Bijnor,14794,126,14668,312985.0,1712341,528227,2240568,1710068,22899,1687062,81967101.0,94857154,28381982,123239136
2021-10-21,UP,Budaun,14941,98,14843,224207.0,1329958,303579,1633537,1710068,22899,1687062,81967101.0,94857154,28381982,123239136
2021-10-21,UP,Bulandshahr,20216,242,19973,269090.0,1621747,589080,2210827,1710068,22899,1687062,81967101.0,94857154,28381982,123239136
2021-10-21,UP,Chandauli,16208,356,15851,211249.0,905913,196611,1102524,1710068,22899,1687062,81967101.0,94857154,28381982,123239136
2021-10-21,UP,Chitrakoot,7110,79,7031,234060.0,426712,105620,532332,1710068,22899,1687062,81967101.0,94857154,28381982,123239136
2021-10-21,UP,Deoria,20223,220,20003,304520.0,1548283,447543,1995826,1710068,22899,1687062,81967101.0,94857154,28381982,123239136
2021-10-21,UP,Etah,9967,99,9868,263295.0,767505,178918,946423,1710068,22899,1687062,81967101.0,94857154,28381982,123239136
2021-10-21,UP,Etawah,13933,293,13640,297761.0,646672,202067,848739,1710068,22899,1687062,81967101.0,94857154,28381982,123239136
2021-10-21,UP,Farrukhabad,10347,194,10153,231856.0,810251,193494,1003745,1710068,22899,1687062,81967101.0,94857154,28381982,123239136
2021-10-21,UP,Fatehpur,6813,139,6674,82928.0,1225943,351133,1577076,1710068,22899,1687062,81967101.0,94857154,28381982,123239136
2021-10-21,UP,Firozabad,8720,135,8584,322656.0,918063,266589,1184652,1710068,22899,1687062,81967101.0,94857154,28381982,123239136
2021-10-21,UP,Gautam Buddha Nagar,63345,467,62863,675396.0,1769501,913458,2682959,1710068,22899,1687062,81967101.0,94857154,28381982,123239136
2021-10-21,UP,Ghaziabad,55668,461,55204,712611.0,2182058,973067,3155125,1710068,22899,1687062,81967101.0,94857154,28381982,123239136
2021-10-21,UP,Ghazipur,21641,282,21357,265737.0,1652687,442772,2095459,1710068,22899,1687062,81967101.0,94857154,28381982,123239136
2021-10-21,UP,Gonda,12282,266,12016,241234.0,1571081,484860,2055941,1710068,22899,1687062,81967101.0,94857154,28381982,123239136
2021-10-21,UP,Gorakhpur,59438,848,58582,480536.0,2296029,791753,3087782,1710068,22899,1687062,81967101.0,94857154,28381982,123239136
2021-10-21,UP,Hamirpur,5232,102,5130,240382.0,542569,163257,705826,1710068,22899,1687062,81967101.0,94857154,28381982,123239136
2021-10-21,UP,Hapur,12637,217,12418,299725.0,638171,226961,865132,1710068,22899,1687062,81967101.0,94857154,28381982,123239136
2021-10-21,UP,Hardoi,13755,349,13406,224784.0,1810119,449108,2259227,1710068,22899,1687062,81967101.0,94857154,28381982,123239136
2021-10-21,UP,Hathras,2920,43,2877,260525.0,680490,201163,881653,1710068,22899,1687062,81967101.0,94857154,28381982,123239136
2021-10-21,UP,Jalaun,11685,202,11482,221719.0,797243,219661,1016904,1710068,22899,1687062,81967101.0,94857154,28381982,123239136
2021-10-21,UP,Jaunpur,22584,235,22347,322824.0,2122769,573049,2695818,1710068,22899,1687062,81967101.0,94857154,28381982,123239136
2021-10-21,UP,Jhansi,36555,663,35892,312540.0,1113701,338526,1452227,1710068,22899,1687062,81967101.0,94857154,28381982,123239136
2021-10-21,UP,Kannauj,9231,114,9115,124019.0,718297,195805,914102,1710068,22899,1687062,81967101.0,94857154,28381982,123239136
2021-10-21,UP,Kanpur Dehat,6197,110,6087,344697.0,881574,236580,1118154,1710068,22899,1687062,81967101.0,94857154,28381982,123239136
2021-10-21,UP,Kanpur Nagar,82928,1905,81023,685820.0,2162352,769105,2931457,1710068,22899,1687062,81967101.0,94857154,28381982,123239136
2021-10-21,UP,Kasganj,4250,53,4197,271969.0,596701,128302,725003,1710068,22899,1687062,81967101.0,94857154,28381982,123239136
2021-10-21,UP,Kaushambi,4423,70,4353,207064.0,712223,182295,894518,1710068,22899,1687062,81967101.0,94857154,28381982,123239136
2021-10-21,UP,Kushinagar,15617,228,15389,314772.0,1608532,392819,2001351,1710068,22899,1687062,81967101.0,94857154,28381982,123239136
2021-10-21,UP,Lakhimpur Kheri,24409,292,24117,368533.0,1756785,312801,2069586,1710068,22899,1687062,81967101.0,94857154,28381982,123239136
2021-10-21,UP,Lalitpur,12741,128,12613,21781.0,614175,123016,737191,1710068,22899,1687062,81967101.0,94857154,28381982,123239136
2021-10-21,UP,Lucknow,238820,2651,236151,1237583.0,3018961,1353431,4372392,1710068,22899,1687062,81967101.0,94857154,28381982,123239136
2021-10-21,UP,Maharajganj,12440,140,12299,334716.0,1245220,319111,1564331,1710068,22899,1687062,81967101.0,94857154,28381982,123239136
2021-10-21,UP,Mahoba,4268,86,4182,142992.0,436333,134455,570788,1710068,22899,1687062,81967101.0,94857154,28381982,123239136
2021-10-21,UP,Mainpuri,10028,182,9846,228496.0,820051,173874,993925,1710068,22899,1687062,81967101.0,94857154,28381982,123239136
2021-10-21,UP,Mathura,20295,402,19892,198379.0,1190069,385197,1575266,1710068,22899,1687062,81967101.0,94857154,28381982,123239136
2021-10-21,UP,Mau,8332,80,8251,281445.0,983055,264753,1247808,1710068,22899,1687062,81967101.0,94857154,28381982,123239136
2021-10-21,UP,Meerut,69467,898,68563,798404.0,1732595,769848,2502443,1710068,22899,1687062,81967101.0,94857154,28381982,123239136
2021-10-21,UP,Mirzapur,11087,116,10971,312764.0,1295991,404286,1700277,1710068,22899,1687062,81967101.0,94857154,28381982,123239136
2021-10-21,UP,Moradabad,39101,349,38752,400459.0,1322947,391365,1714312,1710068,22899,1687062,81967101.0,94857154,28381982,123239136
2021-10-21,UP,Muzaffarnagar,31006,269,30736,161704.0,1241914,415570,1657484,1710068,22899,1687062,81967101.0,94857154,28381982,123239136
2021-10-21,UP,Pilibhit,11032,193,10838,291538.0,958969,226314,1185283,1710068,22899,1687062,81967101.0,94857154,28381982,123239136
2021-10-21,UP,Pratapgarh,16038,163,15875,100500.0,1418452,387462,1805914,1710068,22899,1687062,81967101.0,94857154,28381982,123239136
2021-10-21,UP,Prayagraj,78697,1088,77601,729300.0,2610371,757492,3367863,1710068,22899,1687062,81967101.0,94857154,28381982,123239136
2021-10-21,UP,Rae Bareli,17104,343,16760,387408.0,1383121,273524,1656645,1710068,22899,1687062,81967101.0,94857154,28381982,123239136
2021-10-21,UP,Rampur,11824,148,11676,274288.0,955260,212473,1167733,1710068,22899,1687062,81967101.0,94857154,28381982,123239136
2021-10-21,UP,Saharanpur,32730,420,32308,266387.0,1606972,530449,2137421,1710068,22899,1687062,81967101.0,94857154,28381982,123239136
2021-10-21,UP,Sambhal,9438,106,9331,309333.0,854555,170472,1025027,1710068,22899,1687062,81967101.0,94857154,28381982,123239136
2021-10-21,UP,Sant Kabir Nagar,8159,98,8061,292606.0,738989,158447,897436,1710068,22899,1687062,81967101.0,94857154,28381982,123239136
2021-10-21,UP,Shahjahanpur,20361,444,19916,437195.0,1501209,418546,1919755,1710068,22899,1687062,81967101.0,94857154,28381982,123239136
2021-10-21,UP,Shamli,12976,45,12931,246597.0,584033,183652,767685,1710068,22899,1687062,81967101.0,94857154,28381982,123239136
2021-10-21,UP,Shrawasti,4388,35,4353,221566.0,503469,156126,659595,1710068,22899,1687062,81967101.0,94857154,28381982,123239136
2021-10-21,UP,Siddharthnagar,9373,100,9272,295047.0,1186686,406822,1593508,1710068,22899,1687062,81967101.0,94857154,28381982,123239136
