Date,State/UTCode,District,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinatedNumberForDistrict,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForState
2021-10-24,KL,Alappuzha,314125,1634,310989,,1512718,803699,2316417,4915331,28592,4808775,37379774.0,25196691,12865805,38062496
2021-10-24,KL,Ernakulam,595153,2813,575303,,2940464,1667470,4607934,4915331,28592,4808775,37379774.0,25196691,12865805,38062496
2021-10-24,KL,Idukki,144242,448,138426,237691.0,856905,454693,1311598,4915331,28592,4808775,37379774.0,25196691,12865805,38062496
2021-10-24,KL,Kannur,272653,2024,266332,392136.0,1883368,888567,2771935,4915331,28592,4808775,37379774.0,25196691,12865805,38062496
2021-10-24,KL,Kasaragod,137761,586,133742,,905252,497464,1402716,4915331,28592,4808775,37379774.0,25196691,12865805,38062496
2021-10-24,KL,Kollam,386119,2290,377640,,1943709,985851,2929560,4915331,28592,4808775,37379774.0,25196691,12865805,38062496
2021-10-24,KL,Kottayam,318297,1255,314148,,1472127,783513,2255640,4915331,28592,4808775,37379774.0,25196691,12865805,38062496
2021-10-24,KL,Kozhikode,521960,2861,513971,955060.0,2329847,1097082,3426929,4915331,28592,4808775,37379774.0,25196691,12865805,38062496
2021-10-24,KL,Malappuram,564950,2468,559182,469850.0,2812463,1050661,3863124,4915331,28592,4808775,37379774.0,25196691,12865805,38062496
2021-10-24,KL,Palakkad,371279,2706,361807,226562.0,1980510,893648,2874158,4915331,28592,4808775,37379774.0,25196691,12865805,38062496
2021-10-24,KL,Pathanamthitta,190453,954,182344,306034.0,1045715,647881,1693596,4915331,28592,4808775,37379774.0,25196691,12865805,38062496
2021-10-24,KL,Thiruvananthapuram,456921,4878,443453,436661.0,2569291,1473046,4042337,4915331,28592,4808775,37379774.0,25196691,12865805,38062496
2021-10-24,KL,Thrissur,517509,3187,511834,639055.0,2287094,1218230,3505324,4915331,28592,4808775,37379774.0,25196691,12865805,38062496
2021-10-24,KL,Wayanad,123909,488,119604,211953.0,657228,404000,1061228,4915331,28592,4808775,37379774.0,25196691,12865805,38062496
