Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
2021-10-24,Rajasthan,Ajmer,2021-10-24 18:00:00+05:30,https://twitter.com/dineshkumawat,,37763,410,37344,601374,2021-10-24 18:00:00+05:30,2021-10-24 18:00:00+05:30,https://twitter.com/dineshkumawat,,954402,8954,945417,14712620
2021-10-24,Rajasthan,Alwar,2021-10-24 18:00:00+05:30,https://twitter.com/dineshkumawat,,59694,307,59387,1196060,2021-10-24 18:00:00+05:30,2021-10-24 18:00:00+05:30,https://twitter.com/dineshkumawat,,954402,8954,945417,14712620
2021-10-24,Rajasthan,Banswara,2021-10-24 18:00:00+05:30,https://twitter.com/dineshkumawat,,10005,104,9901,214036,2021-10-24 18:00:00+05:30,2021-10-24 18:00:00+05:30,https://twitter.com/dineshkumawat,,954402,8954,945417,14712620
2021-10-24,Rajasthan,Baran,2021-10-24 18:00:00+05:30,https://twitter.com/dineshkumawat,,11995,61,11934,148518,2021-10-24 18:00:00+05:30,2021-10-24 18:00:00+05:30,https://twitter.com/dineshkumawat,,954402,8954,945417,14712620
2021-10-24,Rajasthan,Barmer,2021-10-24 18:00:00+05:30,https://twitter.com/dineshkumawat,,15562,185,15377,320522,2021-10-24 18:00:00+05:30,2021-10-24 18:00:00+05:30,https://twitter.com/dineshkumawat,,954402,8954,945417,14712620
2021-10-24,Rajasthan,Bharatpur,2021-10-24 18:00:00+05:30,https://twitter.com/dineshkumawat,,19601,260,19341,377581,2021-10-24 18:00:00+05:30,2021-10-24 18:00:00+05:30,https://twitter.com/dineshkumawat,,954402,8954,945417,14712620
2021-10-24,Rajasthan,Bhilwara,2021-10-24 18:00:00+05:30,https://twitter.com/dineshkumawat,,29781,156,29625,373806,2021-10-24 18:00:00+05:30,2021-10-24 18:00:00+05:30,https://twitter.com/dineshkumawat,,954402,8954,945417,14712620
2021-10-24,Rajasthan,Bikaner,2021-10-24 18:00:00+05:30,https://twitter.com/dineshkumawat,,40337,545,39791,580449,2021-10-24 18:00:00+05:30,2021-10-24 18:00:00+05:30,https://twitter.com/dineshkumawat,,954402,8954,945417,14712620
2021-10-24,Rajasthan,Bundi,2021-10-24 18:00:00+05:30,https://twitter.com/dineshkumawat,,7967,48,7919,166896,2021-10-24 18:00:00+05:30,2021-10-24 18:00:00+05:30,https://twitter.com/dineshkumawat,,954402,8954,945417,14712620
2021-10-24,Rajasthan,Chittorgarh,2021-10-24 18:00:00+05:30,https://twitter.com/dineshkumawat,,19809,139,19670,347771,2021-10-24 18:00:00+05:30,2021-10-24 18:00:00+05:30,https://twitter.com/dineshkumawat,,954402,8954,945417,14712620
2021-10-24,Rajasthan,Churu,2021-10-24 18:00:00+05:30,https://twitter.com/dineshkumawat,,16720,107,16613,305707,2021-10-24 18:00:00+05:30,2021-10-24 18:00:00+05:30,https://twitter.com/dineshkumawat,,954402,8954,945417,14712620
2021-10-24,Rajasthan,Dausa,2021-10-24 18:00:00+05:30,https://twitter.com/dineshkumawat,,13351,62,13289,199811,2021-10-24 18:00:00+05:30,2021-10-24 18:00:00+05:30,https://twitter.com/dineshkumawat,,954402,8954,945417,14712620
2021-10-24,Rajasthan,Dholpur,2021-10-24 18:00:00+05:30,https://twitter.com/dineshkumawat,,11010,48,10960,217804,2021-10-24 18:00:00+05:30,2021-10-24 18:00:00+05:30,https://twitter.com/dineshkumawat,,954402,8954,945417,14712620
2021-10-24,Rajasthan,Dungarpur,2021-10-24 18:00:00+05:30,https://twitter.com/dineshkumawat,,18407,131,18276,237449,2021-10-24 18:00:00+05:30,2021-10-24 18:00:00+05:30,https://twitter.com/dineshkumawat,,954402,8954,945417,14712620
2021-10-24,Rajasthan,Ganganagar,2021-10-24 18:00:00+05:30,https://twitter.com/dineshkumawat,,19353,150,19203,320909,2021-10-24 18:00:00+05:30,2021-10-24 18:00:00+05:30,https://twitter.com/dineshkumawat,,954402,8954,945417,14712620
2021-10-24,Rajasthan,Hanumangarh,2021-10-24 18:00:00+05:30,https://twitter.com/dineshkumawat,,16053,111,15942,355156,2021-10-24 18:00:00+05:30,2021-10-24 18:00:00+05:30,https://twitter.com/dineshkumawat,,954402,8954,945417,14712620
2021-10-24,Rajasthan,Jaipur,2021-10-24 18:00:00+05:30,https://twitter.com/dineshkumawat,,187788,1970,185807,2452806,2021-10-24 18:00:00+05:30,2021-10-24 18:00:00+05:30,https://twitter.com/dineshkumawat,,954402,8954,945417,14712620
2021-10-24,Rajasthan,Jaisalmer,2021-10-24 18:00:00+05:30,https://twitter.com/dineshkumawat,,13639,66,13573,200290,2021-10-24 18:00:00+05:30,2021-10-24 18:00:00+05:30,https://twitter.com/dineshkumawat,,954402,8954,945417,14712620
2021-10-24,Rajasthan,Jalore,2021-10-24 18:00:00+05:30,https://twitter.com/dineshkumawat,,10067,72,9995,364614,2021-10-24 18:00:00+05:30,2021-10-24 18:00:00+05:30,https://twitter.com/dineshkumawat,,954402,8954,945417,14712620
2021-10-24,Rajasthan,Jhalawar,2021-10-24 18:00:00+05:30,https://twitter.com/dineshkumawat,,13612,187,13425,264248,2021-10-24 18:00:00+05:30,2021-10-24 18:00:00+05:30,https://twitter.com/dineshkumawat,,954402,8954,945417,14712620
2021-10-24,Rajasthan,Jhunjhunu,2021-10-24 18:00:00+05:30,https://twitter.com/dineshkumawat,,14811,158,14653,354101,2021-10-24 18:00:00+05:30,2021-10-24 18:00:00+05:30,https://twitter.com/dineshkumawat,,954402,8954,945417,14712620
2021-10-24,Rajasthan,Jodhpur,2021-10-24 18:00:00+05:30,https://twitter.com/dineshkumawat,,112412,1103,111305,1133362,2021-10-24 18:00:00+05:30,2021-10-24 18:00:00+05:30,https://twitter.com/dineshkumawat,,954402,8954,945417,14712620
2021-10-24,Rajasthan,Karauli,2021-10-24 18:00:00+05:30,https://twitter.com/dineshkumawat,,7156,70,7086,161805,2021-10-24 18:00:00+05:30,2021-10-24 18:00:00+05:30,https://twitter.com/dineshkumawat,,954402,8954,945417,14712620
2021-10-24,Rajasthan,Kota,2021-10-24 18:00:00+05:30,https://twitter.com/dineshkumawat,,57053,449,56603,852668,2021-10-24 18:00:00+05:30,2021-10-24 18:00:00+05:30,https://twitter.com/dineshkumawat,,954402,8954,945417,14712620
2021-10-24,Rajasthan,Nagaur,2021-10-24 18:00:00+05:30,https://twitter.com/dineshkumawat,,17737,177,17560,473304,2021-10-24 18:00:00+05:30,2021-10-24 18:00:00+05:30,https://twitter.com/dineshkumawat,,954402,8954,945417,14712620
2021-10-24,Rajasthan,Pali,2021-10-24 18:00:00+05:30,https://twitter.com/dineshkumawat,,27324,287,27036,336667,2021-10-24 18:00:00+05:30,2021-10-24 18:00:00+05:30,https://twitter.com/dineshkumawat,,954402,8954,945417,14712620
2021-10-24,Rajasthan,Pratapgarh,2021-10-24 18:00:00+05:30,https://twitter.com/dineshkumawat,,7143,63,7080,189986,2021-10-24 18:00:00+05:30,2021-10-24 18:00:00+05:30,https://twitter.com/dineshkumawat,,954402,8954,945417,14712620
2021-10-24,Rajasthan,Rajsamand,2021-10-24 18:00:00+05:30,https://twitter.com/dineshkumawat,,17044,169,16875,219654,2021-10-24 18:00:00+05:30,2021-10-24 18:00:00+05:30,https://twitter.com/dineshkumawat,,954402,8954,945417,14712620
2021-10-24,Rajasthan,Sawai Madhopur,2021-10-24 18:00:00+05:30,https://twitter.com/dineshkumawat,,10618,61,10555,176905,2021-10-24 18:00:00+05:30,2021-10-24 18:00:00+05:30,https://twitter.com/dineshkumawat,,954402,8954,945417,14712620
2021-10-24,Rajasthan,Sikar,2021-10-24 18:00:00+05:30,https://twitter.com/dineshkumawat,,30618,335,30283,403532,2021-10-24 18:00:00+05:30,2021-10-24 18:00:00+05:30,https://twitter.com/dineshkumawat,,954402,8954,945417,14712620
2021-10-24,Rajasthan,Sirohi,2021-10-24 18:00:00+05:30,https://twitter.com/dineshkumawat,,13732,79,13653,249418,2021-10-24 18:00:00+05:30,2021-10-24 18:00:00+05:30,https://twitter.com/dineshkumawat,,954402,8954,945417,14712620
2021-10-24,Rajasthan,Tonk,2021-10-24 18:00:00+05:30,https://twitter.com/dineshkumawat,,9498,92,9406,232820,2021-10-24 18:00:00+05:30,2021-10-24 18:00:00+05:30,https://twitter.com/dineshkumawat,,954402,8954,945417,14712620
2021-10-24,Rajasthan,Udaipur,2021-10-24 18:00:00+05:30,https://twitter.com/dineshkumawat,,56405,753,55652,676579,2021-10-24 18:00:00+05:30,2021-10-24 18:00:00+05:30,https://twitter.com/dineshkumawat,,954402,8954,945417,14712620
2021-10-24,Rajasthan,Other State,2021-10-24 18:00:00+05:30,https://twitter.com/dineshkumawat,,337,39,298,6012,2021-10-24 18:00:00+05:30,2021-10-24 18:00:00+05:30,https://twitter.com/dineshkumawat,,954402,8954,945417,14712620
