Date,State/UTCode,District,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinatedNumberForDistrict,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForState
2021-10-25,BR,Araria,14976,116,14859,219221.0,1130572,330024,1460596,726060,9661,716363,49266875.0,48671521,16334225,65005746
2021-10-25,BR,Arwal,7381,74,7307,101624.0,341707,101628,443335,726060,9661,716363,49266875.0,48671521,16334225,65005746
2021-10-25,BR,Aurangabad,20011,75,19936,412007.0,1109138,354079,1463217,726060,9661,716363,49266875.0,48671521,16334225,65005746
2021-10-25,BR,Banka,7379,112,7267,364776.0,911965,318958,1230923,726060,9661,716363,49266875.0,48671521,16334225,65005746
2021-10-25,BR,Begusarai,27210,457,26748,213670.0,1398785,419980,1818765,726060,9661,716363,49266875.0,48671521,16334225,65005746
2021-10-25,BR,Bhagalpur,25839,309,25530,582113.0,1445561,574227,2019788,726060,9661,716363,49266875.0,48671521,16334225,65005746
2021-10-25,BR,Bhojpur,10210,159,10051,466438.0,1259633,329960,1589593,726060,9661,716363,49266875.0,48671521,16334225,65005746
2021-10-25,BR,Buxar,9248,182,9066,461428.0,894260,288146,1182406,726060,9661,716363,49266875.0,48671521,16334225,65005746
2021-10-25,BR,Darbhanga,10937,370,10567,448442.0,1830342,659536,2489878,726060,9661,716363,49266875.0,48671521,16334225,65005746
2021-10-25,BR,East Champaran,19015,430,18585,548132.0,2472965,927381,3400346,726060,9661,716363,49266875.0,48671521,16334225,65005746
2021-10-25,BR,Gaya,33952,280,33671,872359.0,1855103,646006,2501109,726060,9661,716363,49266875.0,48671521,16334225,65005746
2021-10-25,BR,Gopalganj,16685,94,16590,562654.0,1257713,416511,1674224,726060,9661,716363,49266875.0,48671521,16334225,65005746
2021-10-25,BR,Jamui,9418,106,9311,342005.0,778937,200284,979221,726060,9661,716363,49266875.0,48671521,16334225,65005746
2021-10-25,BR,Jehanabad,10783,109,10674,492255.0,489693,160969,650662,726060,9661,716363,49266875.0,48671521,16334225,65005746
2021-10-25,BR,Kaimur,4984,147,4837,442332.0,782160,197728,979888,726060,9661,716363,49266875.0,48671521,16334225,65005746
2021-10-25,BR,Katihar,18145,94,18050,556438.0,1402895,332610,1735505,726060,9661,716363,49266875.0,48671521,16334225,65005746
2021-10-25,BR,Khagaria,10064,88,9976,148340.0,761196,192498,953694,726060,9661,716363,49266875.0,48671521,16334225,65005746
2021-10-25,BR,Kishanganj,10124,66,10055,294321.0,734833,182189,917022,726060,9661,716363,49266875.0,48671521,16334225,65005746
2021-10-25,BR,Lakhisarai,7776,102,7674,332434.0,453797,123327,577124,726060,9661,716363,49266875.0,48671521,16334225,65005746
2021-10-25,BR,Madhepura,12547,111,12435,455482.0,939159,219824,1158983,726060,9661,716363,49266875.0,48671521,16334225,65005746
2021-10-25,BR,Madhubani,18362,339,18023,715168.0,1947359,613887,2561246,726060,9661,716363,49266875.0,48671521,16334225,65005746
2021-10-25,BR,Munger,15111,158,14952,325212.0,700752,234167,934919,726060,9661,716363,49266875.0,48671521,16334225,65005746
2021-10-25,BR,Muzaffarpur,31398,621,30776,722651.0,2218441,643877,2862318,726060,9661,716363,49266875.0,48671521,16334225,65005746
2021-10-25,BR,Nalanda,23432,468,22964,591346.0,1357603,573700,1931303,726060,9661,716363,49266875.0,48671521,16334225,65005746
2021-10-25,BR,Nawada,10352,178,10174,322514.0,1016158,239688,1255846,726060,9661,716363,49266875.0,48671521,16334225,65005746
2021-10-25,BR,Patna,146994,2334,144644,676238.0,3390144,2223482,5613626,726060,9661,716363,49266875.0,48671521,16334225,65005746
2021-10-25,BR,Purnia,24427,180,24247,568756.0,1545346,656997,2202343,726060,9661,716363,49266875.0,48671521,16334225,65005746
2021-10-25,BR,Rohtas,13978,271,13707,521553.0,1458884,408824,1867708,726060,9661,716363,49266875.0,48671521,16334225,65005746
2021-10-25,BR,Saharsa,17616,134,17482,356327.0,894221,286322,1180543,726060,9661,716363,49266875.0,48671521,16334225,65005746
2021-10-25,BR,Samastipur,20018,155,19863,614569.0,1948343,497363,2445706,726060,9661,716363,49266875.0,48671521,16334225,65005746
2021-10-25,BR,Saran,23273,255,23018,761473.0,1828588,659737,2488325,726060,9661,716363,49266875.0,48671521,16334225,65005746
2021-10-25,BR,Sheikhpura,7693,75,7618,142348.0,282705,85285,367990,726060,9661,716363,49266875.0,48671521,16334225,65005746
2021-10-25,BR,Sheohar,4404,36,4366,199431.0,298111,101864,399975,726060,9661,716363,49266875.0,48671521,16334225,65005746
2021-10-25,BR,Sitamarhi,9185,127,9058,453227.0,1470815,368144,1838959,726060,9661,716363,49266875.0,48671521,16334225,65005746
2021-10-25,BR,Siwan,15195,170,15025,536438.0,1653440,620028,2273468,726060,9661,716363,49266875.0,48671521,16334225,65005746
2021-10-25,BR,Supaul,17222,129,17093,456511.0,1037580,300610,1338190,726060,9661,716363,49266875.0,48671521,16334225,65005746
2021-10-25,BR,Vaishali,19826,192,19632,275884.0,1627402,421899,2049301,726060,9661,716363,49266875.0,48671521,16334225,65005746
2021-10-25,BR,West Champaran,20890,358,20532,551778.0,1745215,422486,2167701,726060,9661,716363,49266875.0,48671521,16334225,65005746
